Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
1 helpful vote,3 contributions,5.0 of 5 bubbles,Amazing!!!,Our stay was perfect! We felt welcomed the moment we arrived and the staff was so kind and accommodating. Nahid made our stay a 10/10! She made us feel like family. Such a great place in a great location! Will definitely be back.,February 2023,none,Traveled as a couple,none,none,none,none,none,none,none,1,250
1 helpful vote,5 contributions,5.0 of 5 bubbles,Amazing stay,"What a fabulous little hotel. They have thought of everything. Coffee service in the morning. Wine in the afternoon. Lavender spray for your pillows. A white noise machine for sleeping. It was so amazing I purchased one on Amazon. Beds and pillows were super comfortable. Gift bag for our dog Clyde upon arrival. However, the biggest selling point for us was the customer service. Kyle went out of his way to make sure our stay was perfect. This is a small hotel only 12 rooms. A large open air atrium in the middle with seating and a rooftop deck with ocean views. It is very Zen like. No TVs in rooms. They do have Wi-Fi to hook up to Netflix if you need to watch a movie. There is so much to see and do in Laguna you really don’t need a TV. We will definitely return.",June 2022,none,Traveled as a couple,none,none,none,none,none,none,none,2,250
none,1 contribution,5.0 of 5 bubbles,Sweet little gem in the heart of Laguna Beach,"Amazing gem in the heart of Laguna Beach. Very relaxing and “green” boutique hotel. Very comfortable beds and so quiet! The sunset views from the outside deck are stunning! We stayed 11 nights, and the staff was so friendly and welcoming- especially Kyle. Felt more like staying with friends than a hotel. Can’t wait to return❤️",February 2023,none,Traveled as a couple,none,none,none,none,none,none,none,3,250
none,1 contribution,5.0 of 5 bubbles,Gorgeous setting in prime location,"Beautiful aesthetics and decor. The open air patio in the middle was gorgeous and airy. Enjoy a morning coffee or a sunset wine on the rooftop patio with gorgeous ocean views. Less than a minute walk and you're on the beach! The location is superb with easy access to fun shops, galleries, wonderful restaurants, and more. The rooms were clean, quiet, and calming. My puppy and I loved it here!",February 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,4,250
none,1 contribution,4.0 of 5 bubbles,Great location,"Very cute place - views from top great - could use some updating adding a few extra amenities, but overall nice place to stay - loved the fireplace in the morning front lobby but would have liked a muffin with my coffee - definitely would be back",February 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,5,250
none,1 contribution,5.0 of 5 bubbles,Incredible place & experience,"150% an INCREDIBLE hotel with amazing service thanks to Nahid who make our stay extra special ! She was so kind & welcoming & we already miss our new friend ! Hotel is a unique , very clean & home away from Home feel ! Loved the fire places & it was all so welcoming !!We got to meet the owner jimmy as we were sadly leaving & he is such a kind & hospitable man ! Best stay ever !!!! Until next time 🥰",January 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,6,250
none,1 contribution,5.0 of 5 bubbles,Super clean peaceful hotel,"Loved this hotel. Super clean, quiet, great location and staff is so friendly and helpful. Beds and pillows were so comfortable! Welcome drinks were such a nice surprise and the staff was so eager to answer questions and help with requests. Would definitely stay here again!",January 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,7,250
none,6 contributions,5.0 of 5 bubbles,SCP,"It felt like a wonderful home away from home!  Within walking distance to everything, which I love not having to drive.  The staff was also so kind and genuine, which can be hard to find these days.  We loved every minute of our stay!",January 2023,none,Traveled on business,none,5.0 of 5 bubbles,none,none,none,none,none,8,250
none,1 contribution,5.0 of 5 bubbles,Beautiful Petit Boutique in the heart of Laguna,"I loved my stay at SCP - their brand is aligned with my personal values of conservation and wellness, and the size of the hotel, just 12 rooms was great and gave me the feeling of a European B&B. The shared spaces with fireplaces, the offer of a complimentary glass of wine of kombucha each day of my stay, and the service. The team was helpful, kind, and took the time to get to you know the guests, without being invasive. That on top of being able to walk to everything in Laguna made it a perfect fit.",January 2023,none,Traveled on business,none,5.0 of 5 bubbles,none,none,none,none,none,9,250
1 helpful vote,1 contribution,2.0 of 5 bubbles,Manor roof leak in room mold in closet. Clothes got wet and moisture in room was unhealthy.,Could be great hotel but major roof leak caused mold and fungus in closet. Feel like multiple rooms affected due to roof design. Nice staff and clean otherwise. Problem has been going on but they put us in that room,January 2023,none,none,none,3.0 of 5 bubbles,none,none,none,none,none,10,250
none,1 contribution,5.0 of 5 bubbles,Laguna Beach Stay,My stay was excellent.  Staff was friendly and helpful.  Room was clean and well appointed.  I enjoyed hanging n the atrium.  Location was perfect.  Very close to shops and dinning.  I highly recommend it!!,November 2022,none,none,none,none,none,none,none,none,none,11,250
2 helpful votes,4 contributions,4.0 of 5 bubbles,Laguna Beach Stay,"My room was on the first floor with view of a narrow alley space which was less than desirable. Otherwise, very friendly staff and comfortable bed. Quiet. Room has no TV/ clock or other electronics!!!",October 2022,none,none,none,none,none,none,none,none,none,12,250
4 helpful votes,5 contributions,5.0 of 5 bubbles,Great hotel with a human touch!,"Fantastic location steps from the beach, minimal rooms, great and tranquil design of the courtyard. Meditative sound machine in room, great customer service. The best thing about this hotel is the affordable price and the personal approach at the front desk, exhibited by Kyle and a very nice woman at night, I believe her name begins with ""N"". They really care, and it shows. This hotel reminds me of a quiet Pensione in a small town in Italy. Walkable in seconds to the beach, and a very short walk to the downtown shops. Highly recommend, especially if you, like me, needed a solo retreat to clear your head and rest.",September 2022,none,none,What a blush worthy title for a review! We are truly touched by your kind words and so honored to hear this was your experience at SCP Seven4One.  We hope to have you again on your next visit to Laguna Beach!,none,none,none,none,none,none,13,250
1 helpful vote,3 contributions,5.0 of 5 bubbles,Fresh and beautiful,"Refreshing and relaxing ambience, great beds, friendly service. Convenient location, surprisingly quiet at night. Have already recommended to business partners and family and friends who come to Laguna for visits",September 2022,none,none,"Chris, Thank you so much for staying with us, and thank you again for taking the time to provide us feedback on TripAdvisor. What you described, is exactly the feeling we wish our guests to leave with and it's so satisfying to hear we accomplished that during your stay. Truly our pleasure and thank you!",none,none,none,none,none,none,14,250
none,1 contribution,5.0 of 5 bubbles,I should give it 0 stars to keep it to myself,"This place is fantastic and I don't want to let this little secret out so that I can keep it all to myself but I absolutely loved my time here. The place is a-a-a-amazing and the staff is so friendly and helpful. Not your traditional hotel, which is very on brand for Laguna. Don't stay in my secret spot!",September 2022,none,none,none,none,none,none,none,none,none,15,250
none,1 contribution,5.0 of 5 bubbles,Outstanding experience,We found this hotel on the internet.  Everything you would expect to make a hotel experience great was at this hotel.  What truly set SCP apart was the manager Kyle. My wife and I have traveled extensively and encountered outstanding service. Kyle took service to a new level. He was so good at everything it is hard to explain.  I would say he exceeded all expectations in every way. You really would have to experience for yourself to understand.,September 2022,none,none,none,none,none,none,none,none,none,16,250
none,1 contribution,5.0 of 5 bubbles,Great value within this beautiful property,"This place is such a gem.  Pleasant staff, perfect touches, great location and very clean.  The staff goes above and beyond, & the open air atrium and terrace overlooking the water are wonderful additions.  For the price, I would highly recommend!",September 2022,none,none,none,none,none,none,none,none,none,17,250
none,1 contribution,5.0 of 5 bubbles,Weekend getaway,I checked reviews on hotels.com and Yelp. I agree with all of the great reviews. Particularly loved the fresh breakfast and taking my coffee to the beach.  5 👍👍👍👍👍. Going back next year for sure My friend asked to verify that it was great because one of the reviews wasn’t positive ? ? The staff was super supportive and made sure everything was perfect ?,April 2022,none,none,none,none,none,none,none,none,none,18,250
2 helpful votes,2 contributions,5.0 of 5 bubbles,Perfectly peaceful,"Danielle was awesome. A few steps from the beach and a short stroll downtown excellent location loved all the extra peaceful touches in the room the aromatherapy, white noise machine, lavender pillow spray, very comfortable bed loved the shower will be back!",April 2022,none,none,none,none,none,none,none,none,none,19,250
