Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
75 helpful votes,82 contributions,5.0 of 5 bubbles,Exceptionally clean; Has everything you need,"I quickly needed to grab a hotel room for a night while my sons were playing in a water polo tournament.  This hotel is PERFECT for a stay if you need to be anywhere in the area.  The hotel is INCREDIBLY clean.  EVERY staff member was pleasant and helpful.  The breakfast had great hours so we were able to make it back from the pool in time, or if you have an early start they were open at 6am.  There is a game room to enjoy.  The little 'store' had the perfect selection of snacks and travel needs, and prices were so reasonable. Our room was large, CLEAN, and had absolutely everything we could have needed.  The HVAC system worked great and wasn't loud.  I also appreciated having a ceiling fan.  I will definitely stay here again for all of our events in Orange County.  Also, Emilio",March 2023,Third floor away from elevators was PERFECT.,none,none,5.0 of 5 bubbles,none,none,none,none,none,1,120
74 helpful votes,53 contributions,5.0 of 5 bubbles,Great stay!,"This is the second time I’ve stayed at this property. Rooms are very clean and well appointed. The staff are super helpful. On my first stay, I left an item behind and they sent it to me. During this stay, they kindly provided some anti-itch cream when it was too late for me to head out to a drugstore.  Breakfast was a buffet served by staff. Food choices were limited, but good (hot and cold items). I felt the set-up was convenient and hygienic and much nicer than the pre-packaged breakfast boxes you receive at other properties. Although this hotel is not close to where I need to be, I’m happy to drive a little farther and stay here. It’s super convenient if you need to be near John Wayne airport or the freeways. Parking is free, although a little bit limited. I’d absolutely",August 2021,none,Traveled solo,"Greetings, Wow, thank you so much for your kind words and support, during these times. Our team thrive to provide a welcoming environment for our guest and i am glad to they have been able to provide that for you.  I am pleased  to also hear that you partake in some of our amenities such as our complimentary breakfast. We cannot wait to have the opportunity to host you again if you are ever in the  Irvine area.  Warm regards, Chavelly & the Homewood Suites Team",none,none,none,none,none,none,2,120
none,1 contribution,5.0 of 5 bubbles,Wonderful hotel in Irvine,"This is an exceptional hotel. The staff were friendly and very helpful. The hotel was clean and the rooms spacious and well laid out. The breakfast was exceptional as well, much better than the typical free hotel breakfast. The hotel is very convenient to John Wayne Orange County Airport. Highly recommended!",March 2023,none,Traveled with family,"Dear James M,  Good afternoon, and thank you so very much for taking the time to leave us such a kind and thoughtful review! Our entire team is thrilled to hear that you stay with us was exceptional- We absolutely love to help our guests feel at home, while on the road! We hope that your time in Irvine was relaxing and productive, and we look forward to welcoming you back again. Until then, please take care, and have a great rest of your week.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,3,120
none,3 contributions,5.0 of 5 bubbles,Staff here were wonderful-Went down for breakfast kind of last minute and was pleasantly surprised!! Thank you,"Got to breakfast kind of sat minute and was actually surprised that there was good food left and the breakfast crew ( Jessi, Veronica and Emilio)actually waited for us to get what we wanted… made sure we got enough!!! But even more wonderful was Emilio went out of his way to teach my daughter how to make a Belgian waffle and  Veronica went out of her way to help me and was so nice, they were so kind and patient, not rushing us or anything… what a wonderful group!! Thank you so much for starting out morning off great. We appreciate you and thank you .",February 2023,none,Traveled on business,"Dear Brandy L,  Good morning! On behalf of our entire team, we would like to say a very warm, ""Thank you!"" for taking the time out of  your day to leave us such a kind review. We are beyond thrilled to hear that you enjoyed your stay with us, and thank you for the kind compliments regarding our Breakfast Team- We strive to ensure our breakfast is always top-notch, and a great way to start the day. We will certainly pass along your kind words! We look forward to welcoming you back again, and until next time, please take care.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,4,120
none,4 contributions,5.0 of 5 bubbles,Excellent All Around,"This hotel was excellent in every way.  Great rate and amenities.  It was clean,  great service and a friendly staff.  The location is near every thing you need.  Breakfast was very good and fresh.  Quiet hour was after 10 which was great. Housekeeping did a great job. I will definitely return if in Irvine again.",February 2023,none,Traveled with friends,"Dear LaurawG2673OQ,  Good morning! On behalf of our entire team here at the Homewood Suites by Hilton Irvine, we would like to send you a very warm, ""Thank you!"" for taking the time to leave us such a great review. We are so thrilled to hear that we were able to help make your stay comfortable while you were with us, and we hope that your time in Irvine was both relaxing and productive. We look forward to welcoming you back again! Until then, please take care, and have a great rest of your day.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,5,120
none,2 contributions,5.0 of 5 bubbles,F&B team = yassssssss,"Jordan, Jesse, Valeria, Luxury, and Veronica are absolutely a joy to interact with. They have a wonder work ethic and are extremely friendly. Will definitely come back just to say hi! 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😚😌😌😌😌😌😌😌😌😉😉😉😉😉😉😉😗😗😗😍",February 2023,none,Traveled as a couple,"Dear Getaway65533549262,  Good morning! We love to see so many happy faces brighten up our page- Thank you so much for taking the time to leave us such a friendly review! Our Breakfast Team is certainly top-notch, and we are so glad that they could help start your day off on the right foot. We hope that you had a great stay in Irvine, and we look forward to welcoming you back again! Until then, please take care, and have a great rest of your week!  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,6,120
none,1 contribution,5.0 of 5 bubbles,Irvine visit! Fantastic stay,Great service and amenities! This place is great for families! We will stay here again! The breakfast was varied and delicious. The room was very spacious and clean. Overall it’s great location and you are treated with open arms.,February 2023,none,Traveled with family,"Dear robertsB7373NU,  Good afternoon, and thank you so very much for taking the time to leave us such a kind review! We are both humbled and thrilled to hear that you had an enjoyable stay with us, and thank you for the kind compliments about our service and amenities. We love to help our guests feel at home, and we know how important it is to be comfortable while away and on the road. We will definitely make sure that our entire team sees your gracious review, and we look forward to welcoming you back again! Until then, please take care, and have a great rest of your week!  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,7,120
8 helpful votes,16 contributions,5.0 of 5 bubbles,Great dinning service,"Great dining service from the ladies in the dinning room Valeria, Luxury, Veronica, Jordan and Jesse, very helping, and provided guidance with everything in the area of the service.  Breakfast was on time and the area was clean",February 2023,none,Traveled on business,"Dear E7466KZglorias,  Good afternoon! We are absolutely thrilled to receive your wonderful review; Thank you so much for taking the time to leave us such kind words! Our Breakfast Team is overjoyed to hear that you enjoyed your stay with us, and we are so happy to have been able to be of service to you, during your stay in Irvine. We hope that your time with us was relaxing, enjoyable, and productive! We look forward to welcoming you back, the next time you are in the area.  Until then, please take care, and have a great rest of your week!  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",5.0 of 5 bubbles,none,none,none,none,none,8,120
none,1 contribution,5.0 of 5 bubbles,Complementary dinner on Wednesday,"Luxury, Tatiana, Valeria served complemenary dinner and were very kind. Food was also very good.  Thanks for the fantastic service. I will never forget this good experience.  I would recommend this hotel if asked.",February 2023,none,none,"Dear changwookk608,  Good morning! On behalf of Luxury, Tatiana, Valeria and our entire team, we would like to extend to you a very warm, ""Thank you!"" for taking the time to leave us such a great review. We are so pleased to offer the complimentary dinner service on Wednesdays! It's a nice mid-week treat for our guests, and we love the opportunity to give back to our guests who help to make our hotel ""home"". We are so humbled and thankful that you enjoyed your stay with us, and we hope to be able to welcome you back again! Our doors will be open for you. Until then, please take care, and have a great rest of your week.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,9,120
67 helpful votes,225 contributions,5.0 of 5 bubbles,The best team,We experienced consistent quality service and food every single day. There were items on the menu we had never had at a Homewood before. Veronica is amazing and very attentive to detail. The three ladies work tirelessly to provide a great experience. Keep up the good work!,February 2023,none,Traveled on business,"Dear DanisaSuarez,  Good afternoon! We are so humbled and grateful for your kind and generous review. Thank you so much for taking the time out of your day to leave us such sweet words. Veronica is an absolute all-star F&B Supervisor, and she makes some amazing breakfast items for our guests! We certainly love to help our guests start their day right with a hot and tasty breakfast, and we are so glad to hear that you enjoyed yours. We will make sure that the entire Breakfast Team sees your kind review, and we look forward to welcoming you back again!  Until then, please take care, and have a great rest of your week.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,10,120
61 helpful votes,180 contributions,5.0 of 5 bubbles,"Comfy hotel, spacious rooms and friendly staff","Stayed here before. This time a one night stay. Came late for breakfast and staff had just cleared the food from blast counter. Jordan from breakfast staff was extra nice, went out of her way and brought us (4) some fruits and jam from the kitchen! Will be coming back for another longer stay in a few days'ti.e, and looking forward to be here again.",February 2023,none,none,"Dear kyh86,  Good afternoon! On behalf of our entire team here at the Homewood Suites by Hilton Irvine, we would like to send you a very warm, ""Thank you!"" for taking the time out of your day to leave us such a kind review. We are so happy to hear that you've stayed with us before- We love to see familiar faces! We will definitely make sure that Jordan receives your kind words as well; they do such a great job of helping out our guests. Thank you again for your review, and we look forward to welcoming you back again, soon! Until then, take care, and have a safe and happy week!  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,11,120
2 helpful votes,6 contributions,5.0 of 5 bubbles,Home away from Home,"If you want a home away from home experience this is the place to be. I was overwhelmed, frustrated, exhausted & looked a mess due to flood in my home on 9/20/22. Yet 2 smiling faces greeted my 2 Pomeranians & I as we checked in on 9/21/22.  Little did I know this would be home until 2/17/23.  The amazing team at Homewood Suites turned this stressful situation into a blessing.  From Cherie & Carolyn/Management, Natalie & Namiahya/Front Desk, Alma & Maria/Housekeeping, Maintenance & Veronica, Jordan, Jesse, Valeria, Luxury/Hot Breakfast/Social Hour just to name a few of the professional, kind, friendly team that provided Excellent service during my stay.  Then there are the amenities from daily delicious hot breakfast/social hour on Wednesdays, gym, game room, basketball court,",February 2023,none,none,"Dear Alice D,  Good afternoon! What can be said of such a sweet and thoughtful guest... You became like family during your time with us. It seems like just yesterday that we bid you farewell, as your home was complete. We were so thankful for you to be able to go back home, but we have missed seeing your kind face and talking to you throughout the day. You made such a positive impact in the lives and heart of the property! The best blessing of being a part of the hospitality industry, is meeting all of the good and thoughtful people along the way that make a difference, and you are one of those people. From the bottom of our hearts, thank you for choosing to stay with us, for being so kind and understanding, and for always being a ray of sunshine. We are better for having known you! You are always home and welcome here, please know that you always have a place in Irvine, if you ever come back to visit- our hearts and our doors will be open!   All of our very best to one of our very favorite guests,  Cherie Brower and Team General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,12,120
none,1 contribution,5.0 of 5 bubbles,"Clean, Modern and great customer service!","This location is one of the nicest Homewood Suites I have visisted. Very clean, modern aesthetic and super comfy beds. Dining staff were friendly and helpful and the breakfast and Wed reception small bites were tasty. Will visit again!",February 2023,none,none,"Dear Savvykdj,  Good morning! On behalf of our entire team, we would like to say a very warm, ""Thank you!"" for taking the time out of  your day to leave us such a kind review. We are beyond thrilled to hear that you enjoyed your stay with us, and thank you for the kind compliments regarding our cleanliness- We strive to ensure our property is clean, comfortable and cared for at all times. We will certainly pass along your kind words! We look forward to welcoming you back again, and until next time, please take care.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,13,120
none,1 contribution,5.0 of 5 bubbles,My home away from home!,I usually don’t leave reviews but wow! This is one of my favorite places to be. Not only is this a beautiful hotel with great amenities but the staff is the best around. I want to specifically recognize Sergio who made the evening social feel like a 5 star dining experience. Namiahya and Natalie at the front desk who were so warm and hospitable. They are like a dynamic duo. And to top it off Hayley made sure to ask me how my stay was as I departed and made me feel welcome to return. I definitely WILL be back when I am in town.,February 2023,none,none,"Dear jtJ2827IP,  Good morning! On behalf of Hayley and Sergio, and everyone here at the Homewood Suites by Hilton Irvine, we would like to extend a very warm, ""Thank you!"" for taking the time out of your day to leave us such a kind review. We are beyond thrilled to hear that you have enjoyed your stay with us, and we are so glad (but not surprised!) to hear of Sergio's help with our Evening Social. Sergio is the best Chief Engineer this side of the Pacific, and we will certainly make sure that he hears your kind words. We will also pass along your kind review to Namiahya, Natalie, and Hayley as well- We love to help our guests feel at home! Thank you again for being a loyal guest, and we look forward to welcoming you back again. Until then, please take care, and have a great start to your week.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,14,120
38 helpful votes,90 contributions,5.0 of 5 bubbles,Awesome breakfast and room decor!,Great staff and extremely clean throughout. Loved the hot breakfast  choices included in the stay! Loved the fruit choice for the waffles. Veronica and Jessie made sure everything was perfect! Thanks for the stay! Oh. Free parking too!,February 2023,none,none,"Dear Luvturquoisesea,  Good morning (and great username by the way!) On behalf of our entire team here at the Homewood Suites by Hilton Irvine, we would like to say a very heartfelt, ""Thank you!"" for taking the time to leave us such a kind review. Veronica and Jessie do an amazing job of providing our guests with a delicious breakfast in the morning, and we will certainly make sure that your kind words reach them- We love to help our guests feel at home! We know that there are many options of property to stay at in Irvine, but we thank you for choosing to stay with us, and we hope that your time in Irvine was both productive and relaxing. We look forward to welcoming you back again, and until then, please take care.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,15,120
none,1 contribution,5.0 of 5 bubbles,Friendly staff makes me feel welcome,"The staff are very friendly and always say hello. Breakfast is satisfying and Wednesday reception is a great way to unwind mid-week. Thanks to Sergio, Vale and Lexie for the hospitality. I tried other hotels in the area but the hospitality and spacious accommodations brings me back to Homewood Suites.",February 2023,none,none,"Dear U2571LBheleno,  Good afternoon! We are absolutely honored and thrilled to read your kind review- Thank you so much for taking the time out of your day to drop us some kind words. It absolutely warms our hearts, and reminds us of how much we love to take care of our guests. We are so glad to be able to welcome you back to our property, and we will also make sure that Sergio, Vale, and Luxury receive your kind words. We thank you for being a loyal guest, and we look forward to being of service to you, in the years to come. Thank you again, and we hope that you have a great rest of your day.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,16,120
none,none,5.0 of 5 bubbles,Two thumbs up,"We came on a trip from Texas for a water polo tournament. Haley was extremely helpful in helping us organize our trip. She set up our room block for the team and family and even she was even able to have a snack ready for our team because we had to leave before breakfast. The hotel is in a great location, clean, and the staff is very attentive.",February 2023,none,none,"Dear U314QFjerrym,  Good day! On behalf of Hayley and everyone here at the Homewood Suites by Hilton Irvine, we would like to extend to you a very warm, ""Thank you!' for taking the time out of your day to leave us such a kind review. We are thrilled to hear that you and your team were treated so kindly by Hayley (she's the kindest person on Earth!) and we are so happy to hear that your arrival and stay were fantastic. We wish your team many successful wins this season, and we can't wait to welcome you back, again! Until then, please take care, and have a great start to your week.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,17,120
none,none,5.0 of 5 bubbles,Tired of finding breakfast?,One of the best service here is the breakfast. A balanced meal with carb. & protein even vitamins. Don't miss a waffle. It's real. Their service also kind. You can feel  family like service. #Veronica,January 2023,none,none,"Dear 593chank,  Good afternoon! On behalf of our entire team here at the Homewood Suites by Hilton Irvine, we would like to say a very warm, ""Thank you!"" for taking the time to leave us such a great review. We are all hungry for waffles now! We are so happy to hear that our complimentary hot breakfast has been a smash hit for you- Our Breakfast Team will be thrilled to read your kudos! We are all Team Veronica here as well and agree that she really goes above and beyond to help make our guests feel at home while they're getting a nutritious start to their day. We thank you for leaving us such kind words, and we look forward to welcoming you down to breakfast again, soon!  Until then, take care, and have a great rest of your day.  Warmest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,18,120
none,1 contribution,5.0 of 5 bubbles,Month & a Half Adventure with a Puppy,"I stayed here from October to mid November and the employees here are the nicest, everyone from the front desk, to the kitchen crew to the cleaning crew. I had to stay long term with my puppy, which was our first hotel stay. They are so helpful and thr place is always clean.  The kitchen crew (Jessie, Luxury, Jordan, Valerie & Veronic) they are so nice. They always ask how your doing, how my puppy is. I love that they change up the menu and always have two different types of eggs. In order to get breakfast in the morning and not leave a crying puppy, I have to tie her to the trashcan. The crew will keep an eye on her for me while I grab food and then we head to the room to eat. Also, happy hour, I don't know what they put in the salad but its always delicious but the best part",October 2022,none,none,"Dear 489sandrap,  Good day! Wow, thank you so, so very much for taking the time out of your day to leave us such a kind and heartfelt review- We are deeply moved and so very grateful! We absolutely loved having you and your puppy with us (let's face it, puppies are the best!) and it was such a joy to be of service to you, during your stay. We'll certainly pass along your kind words to our Breakfast team; it means so much to us to help people feel at home while they are with us. We'll also make sure to pass along your review to the rest of our team, and give kudos to Julieta- She is one of the kindest people on this Earth, and she is always so cheerful to help anyone she comes across during her day, whether it be guests or fellow team members. Thank you so very much, from the bottom of our hearts, Again it was our pleasure to be of service to you while you were with us. We can't wait to welcome you back! With as quick as this year is already flying by, it will be the Holiday Season again before we know it. Feel free to bring your puppy with you as well (though she won't be a puppy by then!)  Until then, thank you again, and have a great rest of your week.  Sunniest regards,  Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,19,120
none,1 contribution,5.0 of 5 bubbles,"Big space, great employees",This place is amazing. Had to book a last minute stay and was glad they had a room open. The place was clean and organized. Did had some problem with my room but Sergio came in and fixed everything in a flash. He was amazing and my experience with this hotel so worth it because of him,January 2023,none,none,"Dear 420brits,  Good morning! On behalf of our entire team here at the Homewood Suites by Hilton Irvine, we would like to send you a very heartfelt, ""Thank you!"" for taking the time to leave us such an amazing review. We are beyond thrilled to hear that you enjoyed your stay with us, and we are so glad that we could help make your stay just right. We'll definitely pass along your kind words to Sergio; he takes our Maintenance and care of our guests to heart, and he's such a gem to have with us. We thank you for choosing to stay with us, and we hope to welcome you back, again! Until then, please take care, and have a great rest of your week.  Warmest regards,   Cherie Brower General Manager Homewood Suites by Hilton Irvine/John Wayne Airport",none,none,none,none,none,none,20,120
