Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,1 contribution,3.0 of 5 bubbles,Not the room I paid for.,"Room was quite large,  but not the room I had paid for, which was a north view of Disneyland At check in, the gentleman stated there was nothing he could do about that, and gave ma room looking at a parking lot.  Then there was the issue of no hot water for two mornings. I understand their short staffed, so I didn't complain until I checked out. My mistake,  should have asked for a different room. I would go back.",March 2023,none,Traveled solo,none,none,none,none,none,none,none,1,63
22 helpful votes,27 contributions,5.0 of 5 bubbles,Nice Hotel Close to Disneyland,"Nice clean hotel 10-15 easy walk to Disneyland.  There is two drugstores right next door to the hotel, and a wide variety of restaurants close by as well.  Elevators can be a little crowded during certain times of the day, so beware",July 2021,none,none,"Dear Jere,  It sounds like our location was perfect for your fun plans in Anaheim, and we couldn't be happier! Hopefully, our clean and cozy rooms made for the ideal place to rest after your adventures as well. Thanks so much for choosing us for your lodging needs, and we hope to have you back soon!",5.0 of 5 bubbles,none,none,none,none,none,2,63
none,1 contribution,5.0 of 5 bubbles,Nice stay for the price,"Everything was great, didn’t love that was no central heat/air and just the plug in unit and towels are a little worn but outside of that it was good. Staff was super friendly and it was only about 15 minutes from hotel to Disney gate! Would stay again.",March 2023,none,Traveled with family,none,none,none,none,none,none,none,3,63
none,1 contribution,4.0 of 5 bubbles,GOOD HOTEL,"The rooms are so comfortable, totally clean all areas, I think that is good but can be excellent if the parking lot should be included on the price of reservation. The personal required knowledge in all services or discounts including in the reservation.",February 2023,none,none,"Thank you so much for taking the time to share your thoughts with us. We appreciate you shining the spotlight on our comfortable accommodations and high standards of cleanliness. Your feedback regarding aspects of your stay that could have been even better is gratefully received and allows us to continually review and improve guest satisfaction. Should your travels bring you back to the area in the future, we hope you'll consider staying with us again!",none,none,none,none,none,none,4,63
none,1 contribution,5.0 of 5 bubbles,We will book here again.,"We loved this Hotel. The location was awesome and we loved the feel and way the interior was decorated. My only complaint was with the Wi-Fi, kinda crappy. But the beds were comfortable and the staff so helpful.",February 2023,none,Traveled with friends,"Thank you for choosing our hotel for your recent visit to Anaheim. We're glad you had an excellent stay with us and that you enjoyed our unique decor, convenient location, comfortable beds, and exceptional service. Your comments are important to us, and we'll use them as we continually work to improve the connectivity of our internet. Please allow us to host you again at Hotel Lulu, BW Premier Collection. Familiar faces are a welcome sight, so come back soon!",none,none,none,none,none,none,5,63
none,5 contributions,5.0 of 5 bubbles,"Great location, well-priced  & super clean!","This is our 2nd year in a row staying here for the high school Pom Nationals! This hotel's location is perfect for walking to the Convention Center, Disneyland, & Anaheim's Garden Walk for eating. This hotel is very well-priced for the location. This hotel is very clean. The hotel staff was extremely friendly and helpful.",February 2023,none,none,"Dear Wendy, Thank you for staying with us again at Hotel Lulu, BW Premier Collection. It is wonderful to hear that you once again liked our friendly guest service and found our location convenient for attending your event. Please come back again in the future.",none,none,none,none,none,none,6,63
none,2 contributions,5.0 of 5 bubbles,"Cute Hotel, Great Location, Amazing Staff","From the moment we checked in and they gave us our complimentary cocktail, we knew it would be a great stay.  Checking in was fast and easy.  Our agent was super friendly and the manager Gaby was so sweet and accommodating.  We will definitely be coming back to stay whenever we are in the area for Disney or the Convention Center, which are both within walking distance!",February 2023,The suites are great located next to the pool,none,"Dear Sarah, Guests can expect to have all that they need to have a five-star stay when they choose Hotel Lulu, BW Premier Collection. It is wonderful to know that you enjoyed your time with us, and we look forward to welcoming you back in the future. That said, we hope you already have plans in the works to return to Anaheim soon.",none,none,none,none,none,none,7,63
4 helpful votes,13 contributions,4.0 of 5 bubbles,Beautifully Decorated,"My 13 yo son and I stayed here for a week. Staff were all very nice & helpful.  About a 15 min walk to park. We sometimes took the ART. Lol pool area was great. Beds and pillows were amazing.   The decor and pictures throughout were adorable.  My only complaint was we had one of those room connector doors and over the long weekend, a family with young very exhausted kids moved in and it was non stop screaming.  I am not sure if they have any rooms w/o but if they do, I would recommend one. Lol   Parking $30 a night tho?? Ouch! I only rented a car for two nights.   Although we enjoyed the hotel, likely won’t stay there next time.",February 2023,none,Traveled with family,"We're grateful to have had the opportunity to host you and your son. Our property offers an ideal location in Anaheim, within walking distance of Disneyland. However, we regret the noise issue you experienced during your stay. Please know we encourage you to contact our front desk for problems such as this, as we aim to create a restful environment. Despite this, we're glad you appreciated our friendly service and cozy beds. We would be honored if you considered staying with us again at Hotel Lulu, BW Premier Collection.",none,none,none,none,none,none,8,63
6 helpful votes,4 contributions,5.0 of 5 bubbles,Happy place near Disney,"Great rooms, comfortable beds, amazing pillows. Very good service from the crew. It has a very good location near to Disney parks, pharmacies and restaurants. The parking is very useful, and it has very fast access.",February 2023,none,none,"Dear Juan, We are thrilled to see we had the right recipe for an outstanding visit to Disneyland; a comfortable bed, an amazing location, and friendly staff. It was our honor to host you at Hotel Lulu, BW Premier Collection and we hope to have the opportunity to welcome you back again soon.",none,none,none,none,none,none,9,63
none,1 contribution,3.0 of 5 bubbles,Served our need but nothing memorable,"Room was comfortable enough, could hear quite a bit from hall and surrounding rooms but we were so tired it wasn’t a big issue. Public areas (halls, pool area) were a little worn and dingy. It was cooler one afternoon when the kids wanted to swim, we called guest services about lighting the fire pits for the adults to sit by while the kids swam. They said yes but never came. Overall no major complaints but we’ll likely try a different one next time. $30 per day for parking really adds up too.",February 2023,none,Traveled with family,"We are delighted that you could stay with us and were comfortable in our room, but we regret that you experienced other issues with cleanliness and our staff. Our hotel always wants our guests to leave satisfied, and we apologize that this was not the case. Thank you for your review, and we want to welcome you back again so we may correct where we fell short on this visit.",none,none,none,none,none,none,10,63
none,1 contribution,5.0 of 5 bubbles,Wonderful Hotel,"Savannah and the rest of the girls up front were kind and caring. This hotel smelled wonderful anywhere I walked around, it didn’t have a musty smell or strong odors from cleaning products. My room was quiet, clean, spacious and had a wonderful view. It has a Starbucks, Walgreens, CVS all within walking distance. Disneyland was a 10 minute walk from the hotel as well. I felt very safe being in the hotel and walking around the immediate area as a single woman on a trip.",February 2023,none,none,"Dear Kristen, It was truly a pleasure to host your recent stay at Hotel Lulu, BW Premier Collection. We're delighted to hear that you had an enjoyable visit and appreciated the excellent hospitality our team provided, as well as our clean, quiet, and spacious accommodations. We're also pleased that you enjoyed our convenient and safe location, especially traveling alone. Thank you for sharing your kind comments, and we hope to have the opportunity to welcome you back the next time you're in the area.",none,none,none,none,none,none,11,63
none,1 contribution,3.0 of 5 bubbles,A decent little place for a business trip or a trip to Disney.,"A decent little place for a business trip or a trip to Disney. Nice heated pool and bar. Nothing super fancy, but it is cute and clean. There was 3 elevators, but one wasn't working. The staff was very nice and helpful with all questions and needs.",February 2023,none,none,"Dear Emilie,  Thank you so much for taking the time to share your thoughts with us. We appreciate you shining the spotlight on our high standards of cleanliness and friendly, dedicated team. If you have any suggestions for ways we can make your next visit exceed expectations, please feel free to reach out to us offline.",none,none,none,none,none,none,12,63
none,1 contribution,5.0 of 5 bubbles,So great!,"Hotel lulu was amazing! Our family had a 3 night stay and enjoyed it top to bottom. We were greeted by Shannon, who was absolutely top notch. We arrived a few hours early for check in and she made our wait comfortable and enjoyable. The room was pretty standard but perfect for our needs as we spent most of the time at Disney. Pool was great, only downside is it loses the sun pretty early, but no biggie if you’re there to explore Disney anyways. The decor, staff and stay were all 10/10. Would and will highly recommend.",February 2023,none,none,"We were delighted to host you at Hotel Lulu, BW Premier Collection. Our team is thrilled to have exceeded your expectations during your three-night vacation in Anaheim. We're glad you were warmly welcomed to our property by Shannon, who strives to deliver exceptional service. Thank you for this review, and we hope to see you again soon!",none,none,none,none,none,none,13,63
none,1 contribution,5.0 of 5 bubbles,Excellent hotel in Anaheim California,Excellent hotel with amazing staff and rooms.  The beds and pillows were the most comfortable in my life.    I would highly recommend this hotel for anyone visiting Anaheim for business and pleasure,February 2023,none,none,"Thank you for the wonderful review and recommendation! We're glad our friendly staff and comfortable beds impressed you. The next time you're in town, please come stay at Hotel Lulu, BW Premier Collection again.",none,none,none,none,none,none,14,63
5 helpful votes,6 contributions,3.0 of 5 bubbles,"Ok, not great","Hotel Lulu is ok but definitely not great. The staff was friendly and helpful. The room was clean but a little worn. The hot water was not always very hot. There were no drawers to put away clothes. No hooks in the bathroom to hang a wet towel. There was a refrigerator, microwave coffee in the room. Just ok",February 2023,none,none,"Dear Leiah, Thank you for highlighting our clean facilities and hospitable staff. Unfortunately, it appears there were some aspects of your stay that you were not a fan of.  Our Standard King Bed Room may have had some of the amenities you were hoping for, and we certainly recommend you give it a try on your next visit. However, as we work to improve the overall guest experience, we will discuss your feedback. We appreciate you sharing your experience and hope to welcome you back again in the future.",none,none,none,none,none,none,15,63
none,1 contribution,5.0 of 5 bubbles,Great stay,"I stayed at the hotel with my family and rented two rooms.  I requested that they be as close to each other as possible, and got them next to each other.  The staff was friendly and the rooms were very clean.  I will definitely be staying there again in the future.",February 2023,none,none,"If you're looking for clean accommodations to relax in or top-notch service, look no further than Hotel Lulu, BW Premier Collection. The cherry on top of all of this is our unbeatable location. Thank you so much for the perfect rating. We can't wait to welcome you and your family back again soon.",none,none,none,none,none,none,16,63
3 helpful votes,9 contributions,5.0 of 5 bubbles,Keller Williams Family Reunion,"Room was clean, good size and the staff was great. Super friendly and helpful. Great location, walking distance to the convention center. Lobby was a nice place to hang out. Coffee was good and they had a bar and food. Would stay again.",February 2023,none,none,"Dear Tony, It was truly a pleasure to host your recent stay at Hotel Lulu, BW Premier Collection for your recent family reunion. We're delighted to hear that you had such an enjoyable experience and appreciated our clean and comfortable accommodations, as well as the friendly hospitality our team provided. Thank you so much for sharing your positive review, and we hope to have the opportunity to welcome you back on another occasion.",none,none,none,none,none,none,17,63
none,1 contribution,5.0 of 5 bubbles,10 out of 10,Savannah was awesome she really made us feel catered too room was perfect had connecting rooms breakfast was spot on delicious staff was super friendly. Pillows and beds were comfortable. Complimentary cocktails were delicious,February 2023,none,none,"Dear Savannah, It was a pleasure hosting you at Hotel Lulu, BW Premier Collection! We're glad our tasty breakfast, comfortable beds, and friendly staff impressed you. Thank you for your kind words. Please come see us again soon.",none,none,none,none,none,none,18,63
