Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,1 contribution,5.0 of 5 bubbles,Friendly staff makes your stay comfortable,"Friendly staff. Great and quiet area ,. Comfortable rooms . Great TV selections and great wifi connections. Right across the street is a great breakfast establishment that has great full breakfast.  I've made this motel my place to stay when I'm in orange county.",September 2022,none,Traveled with family,"Hi Pioneer11830930760 ,  Thank you for your compliments to our staff, hospitality and breakfast layout. We appreciate your compliments and we take high pride in the peaceful ambiance that we can provide to our guests. We hope to see you stay with us more in the future as we promise to push our services better to provide you the most pleasant stay that you can find. We thank you that you highlighted our strengths in your review. May you return again soon and feel at home just like the last time!",none,none,none,none,none,none,1,365
none,2 contributions,5.0 of 5 bubbles,Mr. Rick Dunegan,"Was the best trip ive taken in many years. Just by chance an ex love lived right across the street, in which i was reconnected with for a brief time after 28 years. Was great just spending the day and part of the night with her after all those years",July 2021,none,Traveled solo,"rd2865,  Thank you for your high rating of our hotel and for taking the time to share your experience!  We are so happy that you enjoyed your stay and that you found the accommodations and service to be satisfactory. We greatly appreciate the time you've taken to rate our hotel and we look forward to your next visit.",none,none,none,none,none,none,2,365
none,1 contribution,5.0 of 5 bubbles,Best motel in brea,The regancy motel is one of the best motels in brea i really like the owners there very nice for what ever reason u need something just call the front desk and they will help u ou...They also have very nice rooms i seriously recommend Regancy motel ...,March 2021,none,Traveled as a couple,"Hi X1730YVjaimea,  Greetings from Regency Motel. Thank you for taking the time to share your feedback and to acknowledge the efforts of our hardworking staff to be as accommodating, helpful, and welcoming as possible.  Our ultimate ambition is to provide a five-star experience, and we are thrilled to learn that we have succeeded. Our management is always happy to serve you and we can't wait to see you again!",none,none,none,none,none,none,3,365
none,1 contribution,3.0 of 5 bubbles,Not awful for the price,"My visit was during COVID, so it was relatively quiet. Decor and amenities were nice. Sufficient for a one night stay, but my bed was uncomfortable and the pillows were nearly flat. If it had been busier, I probably would have had major complaints about noise as the walls are pretty thin. I’d stay again in a pinch, but not for more than one night.   Staff was courteous and efficient. Check in was easy.",December 2020,none,Traveled with family,"Jen3700,  Thank you so much for taking the time to write this thorough and insightful review. We appreciate that you've taken the time to share the ways that we have impressed you and the ways that we can improve.  I do apologize for the discomfort you experienced with our bed.  Your feedback will help us to recognize our strengths and improve upon our weaknesses. On behalf of our entire staff, we thank you for choosing our hotel and hope you will let us serve you again.",none,none,none,none,none,none,4,365
none,1 contribution,5.0 of 5 bubbles,Relaxing visit,"Booked jacuzzi room to have a relaxing evening. The property was very quiet and well kept. Room was extremely clean, well decorated and the staff was very nice and helpful. Will definitely stay here again. A+",November 2020,none,Traveled as a couple,"Pursuitofhappinessoc,  Thank you for your kind comments and 5 star rating.  It is very rewarding to hear your perspective of our hotel and we appreciate that you have acknowledged our efforts to provide a clean, comfortable, and hospitable experience. We greatly appreciate the time you've taken to rate our hotel and we look forward to your next visit.",none,none,none,none,none,none,5,365
11 helpful votes,7 contributions,5.0 of 5 bubbles,Another awesome visit,Great hotel!!  Great staff!!! Will definetly come back!!!! Super clean rooms!!  Spacious and sleek!! Close to downtown brea and also conviently close to many restaurants as well. A little gem in a friendly beautiful little gem of a town in brea,September 2020,none,Traveled solo,"poppacdub,  Greetings from Regency Motel. Your kind compliments mean so much to us, and we thank you for taking the time to share this review. We are thrilled to hear that you enjoyed our convenient location, our high standards of housekeeping and our friendly and welcoming staff. We hope that your next visit will be another five star experience.",none,none,none,none,none,none,6,365
none,1 contribution,4.0 of 5 bubbles,Not bad pretty decent,"Pretty nice, extra sheets and pads came in handy from home, check in was a breeze, house keeping and guest service/front desk provide a warm welcoming service and atmosphere. Complementary breakfast is on point.",July 2020,none,Traveled solo,"Saggingdiaper,  Thank you for your compliments to our staff, hospitality and breakfast layout. We are all pleased to learn we were able to make you feel comfortable  and that our services and accommodations lived up to your expectations.  We will happily share your comments with our staff and we look forward to seeing you soon!",none,none,none,none,none,none,7,365
none,1 contribution,5.0 of 5 bubbles,The Regency,"beautiful rooms, great and freindy staff ,vic at the front office is really cool. good prices, very clean and very peaceful and quiet area. very enjoyable place to stay. with a laundry area on site. which a lot of placesndo not have.",July 2020,none,Traveled solo,"timdH4288KD,  Thank you so much for your feedback and kind words regarding the five star service and accommodations that you received during your most recent stay with us!  It is very rewarding to hear your perspective of our hotel and we appreciate that you have acknowledged our efforts to provide a clean, comfortable, and hospitable experience. We are all looking forward to your next visit and hope it will be just as enjoyable.",none,none,none,none,none,none,8,365
none,1 contribution,5.0 of 5 bubbles,beautiful,Beautiful rooms the price was definitely motel price but I felt like I was in a hotel. The staff was very friendly and made me feel at home instead of a visitor. Ended up staying an extra night cause the price is unheard of,June 2020,none,Traveled as a couple,Thank you for taking the time to review us. Your feedback is much appreciated and we hope to see you again soon!,none,none,none,none,none,none,9,365
25 helpful votes,10 contributions,5.0 of 5 bubbles,Good place,For a cheaper hotel it was clean and a good place to sleep. Nothing fancy but a nice place to stay. Great office staff. We got there late after leaving our first hotel that was disgusting and our reservation had not shown up yet but they got us in a room and said we would figure it out in the morning. Very friendly.,September 2019,none,Traveled with family,"Thank you for taking the time to share this five star experience with our management, staff, and future guests. I'm glad that our services, hospitality, and accommodations exceeded your expectations and hope that you experience the same comfortable stay during your next visit! We look forward to serving you again!",none,none,none,none,none,none,10,365
