Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
1 helpful vote,2 contributions,5.0 of 5 bubbles,Great experience,My daughter and I came to visit your lovely hotel and on our way out we were greeted again by Tim at the entrance who with a big and friendly smile asked us if we’d enjoyed our visit and I’d we’d like to see the wonderful view from the 16th floor. He took us personally up there and made it such a memorable trip for us.,March 2023,none,Traveled with family,none,none,none,none,none,none,none,1,67
1 helpful vote,1 contribution,5.0 of 5 bubbles,My socal go to,"10/10 experience. The hotel is beautiful, the food is great, and perfect location. Tim went above and beyond to make sure i was comfortable.  This will be my new go to hotel when staying in Southern California.",March 2023,none,Traveled solo,"Dear haleyr455,  Thank you for choosing to stay at VEA Newport Beach, A Marriott Resort & Spa. We are committed to providing an exceptional experience for every guest, and we are thrilled we exceeded your expectations, especially our beautiful property, authentic food, convenient location, and attentive service. We will enjoy sharing your kind words with our team, especially Tim. We hope to see you again soon!  Best Regards,  Debbie Snavely General Manager",none,none,none,none,none,none,2,67
1 helpful vote,1 contribution,5.0 of 5 bubbles,View Restaurant,"I stayed at Vea for a work conference and ate at the View restaurant. I had Ivan as my waiter and he was remarkable. He absolutely gave very upscale service. Very well trained, answered my questions about the menu, didn’t give me the usual, “ I’m not sure, I haven’t had it” answer. Very polite, well spoken young man. Ivan, you deserve a raise. Very good representation of the restaurant.",March 2023,none,Traveled solo,none,5.0 of 5 bubbles,none,none,none,none,none,3,67
1 helpful vote,1 contribution,5.0 of 5 bubbles,film/tv/book producer,"fantastic reboot of the Marriott as VEA. beautiful, stylish hotel  with notably outstanding service all the way around — exceptional standout being front lobby ambassador/captain of the guard, Tim E.  if he’s not already taking care of you upon arrival, departure and in between, tip your hat for a smile and enough good cheer to boost your day.",March 2023,none,Traveled on business,"Dear robertsZ9760OD,  Thank you for acknowledging our outstanding service at VEA Newport Beach, A Marriott Resort & Spa. We are committed to providing an exceptional experience for every guest and are thrilled we exceeded your expectations. We will share your kind comments with Tim. We look forward to seeing you again soon.  Best Regards,  Debbie Snavely General Manager",none,none,none,none,none,none,4,67
8 helpful votes,3 contributions,5.0 of 5 bubbles,MUST STAY LOCATION!,"We had an absolute blast at Vea. Facility is absolutely stunning and the staff are WONDERFUL. We were celebrating our recent engagement and everyone from the bell hop to the Lobby Ambassador Tim made us feel loved, celebrated, and right at home. We live less than 2 miles down the street and will be back again for our next staycation.",February 2023,none,Traveled as a couple,none,none,none,none,none,none,none,5,67
1 helpful vote,1 contribution,5.0 of 5 bubbles,VEA Newport Beach,"Amazing modern resort, with yoga class and great food and, the best of all, the staff is very helpful, friendly and has amazing recommendations regas th forget what to do around the area. Thank you Tim E. for your hospitality.",February 2023,none,Traveled with family,"Dear weteamcrisp,  Thank you for staying at VEA Newport Beach, A Marriott Resort & Spa, and for your fantastic feedback. We are pleased you enjoyed our beautiful resort and dining experience. We also appreciate you for acknowledging our outstanding service, and we could not be more delighted to read about the special attention you received from Tim. We are fortunate to have him as a member of our team. We will surely pass along your kind compliments to him and the entire team. It was a pleasure hosting you and we look forward to seeing you again soon.  Best Regards,  Debbie Snavely General Manager",none,none,none,none,none,none,6,67
1 helpful vote,3 contributions,5.0 of 5 bubbles,"Excellent Service, Great Location, Amenities, and Property",After a few days in a hotel near Disneyland we made our way to Newport Beach to finish our trip at Marriott’s VEA near Fashion Island.    The property and amenities were great including our own private fire pit outside our patio door(not all units have these).  Staff were stellar also!  Special thanks to Alex and Christopher at the check-in desk and Tim E. on our way out.    Will be booking our entire stay there next time we are in town.,February 2023,none,Traveled with family,none,none,none,none,none,none,none,7,67
1 helpful vote,1 contribution,5.0 of 5 bubbles,Business meeting at the VEA,This is a fantastic property in a great location.  Exceptional customer service which included a Hotel Ambassador who made great suggestions of things to do in the area.  Great bar and restaurant.  Free shuttle service to many local attractions.,February 2023,none,Traveled on business,"Dear Margaret A,  All of us here at VEA Newport Beach, A Marriott Resort & Spa appreciate the generous praise for your visit during your meeting. We are pleased you enjoyed our location, dining experience, and customer service. We also appreciate you mentioning our resort ambassador, and we will surely pass along your kind compliments to him. It was a pleasure hosting you, and we look forward to seeing you again soon.  Best Regards,  Debbie Snavely General Manager",none,none,none,none,none,none,8,67
1 helpful vote,1 contribution,5.0 of 5 bubbles,Beautiful new local hotel,"We had the opportunity to use the gym at Vea yesterday because the NBCC gym is closed for a week and they have a reciprocal.  Love the cool vibe of this new hotel. The gym is fabulous, great layout and so big overlooking the pool. Everything you need is there.  Tim found us looking around and was so friendly!  He gave us a tour of the hotel and took us to the top floor (10)  & took us outside to see the gorgeous views. Tim was so welcoming and encouraged us to come back and hang out.  We popped in the lobby bar restaurant and they offered us a free coffee to go!   As locals we will def be back….if nothing else to see Tim!",February 2023,none,Traveled with friends,none,none,none,none,none,none,none,9,67
1 helpful vote,1 contribution,5.0 of 5 bubbles,Excellent and kind service!,We have absolutely loved staying at this hotel! It is so beautiful and the staff are all so helpful! Manny at the valet was always so kind and got our car to us so quick! We would definitely recommend this hotel!!!,February 2023,none,none,"Dear meganbQ2878RB,  Thank you for acknowledging our outstanding service at VEA Newport Beach, A Marriott Resort & Spa. We are committed to providing an exceptional experience for every guest, and we are thrilled we exceeded your expectations. We also appreciate you mentioning our attentive and thoughtful emcees, especially Manny. We look forward to seeing you again soon and we are also grateful to you for recommending us to future guests.  Best Regards,  Debbie Snavely General Manager",none,none,none,none,none,none,10,67
