Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
11 helpful votes,34 contributions,4.0 of 5 bubbles,Good spot in Orange country,"At a time many hotels seem to still be cutting corners (housekeeping, breakfast, bar), Hyatt Place stands apart.  Daily service and very pleasant staff - from check in, to breakfast to the bar in the evening.  Pricing relative to the service was excellent.",February 2023,none,Traveled on business,none,3.0 of 5 bubbles,none,none,none,none,none,1,215
2 helpful votes,4 contributions,5.0 of 5 bubbles,Perfect stay!,"We have stayed in a few different hotels in the area over the last 6 months. None of them cleaned our rooms during the five day trip! We were so pleasantly surprised to have our room cleaned perfectly every day. All the staff was great! Check in, breakfast staff, even the maintenance guys. Such a great experience!",February 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,2,215
none,1 contribution,5.0 of 5 bubbles,Great stay for business trips,"This hotel has everything you need for your business trip: clean comfortable room, free purified water, great breakfast buffet (included), business center etc. I wouldn't call it no-frills, but rather low-frills and just what I needed for my 1-night trip.",February 2023,none,Traveled on business,"Hello Lauren9876523,  Thank you so much for taking the time to write a review.  We are happy to hear that you thoroughly enjoyed your stay. Please come back and visit us again soon. Thank you so much for choosing Hyatt House Irvine as your home away from home.",5.0 of 5 bubbles,none,none,none,none,none,3,215
none,5 contributions,5.0 of 5 bubbles,Very Clean Staff very helpful and friendly,"We had a king studio, the room was extremely clean. All requests made via text prior to check in were accommodated. Hotel in right off the expressway and very close to the airport. Quiet and a lot of dining options nearby. Plenty of grass for dogs too!",February 2023,none,none,"Hello Mandy C,  Thank you so very much for taking the time to leave a review for our hotel. We so appreciate you choosing Hyatt House Irvine as your home away from home. We are happy to hear that you thoroughly enjoyed your stay with us and that the staff was so helpful and friendly during your time with us. Please come back and visit us again when your are in the area.",5.0 of 5 bubbles,none,none,none,none,none,4,215
5 helpful votes,11 contributions,5.0 of 5 bubbles,Back in the OC!,"This hotel is 5 minutes from SNA, right in the business district of Irvine. Walking distance to several nice restaurants if you prefer to avoid auto rentals. Clean, friendly staff and a decent free breakfast. Kyle in the bar is fantastic and will remember you and your favorite libation if you return. That's a plus I never expected at a business stay!",February 2023,none,Traveled on business,"Hello Eric P,  Thank you so much for taking the time to write a review.  We are extremely happy to hear that Kyle and the rest of our staff was able to really enhance your experience with us. We appreciate the incredible compliments on our property as a whole. Please come back and visit us again soon. Thank you so much for choosing Hyatt House Irvine as your home away from home.",4.0 of 5 bubbles,none,none,none,none,none,5,215
none,1 contribution,5.0 of 5 bubbles,Good business stay but app features (chrome cast and room key) not working,Good value for a business trip. Breakfast options are poor quality but it’s free. Service and help are 10/10. Digital Hyatt app features like the chrome cast and digital key barely work 2/10). Overall would recommend.,February 2023,none,Traveled on business,"Hello BayAreaTraveler2023,  Thank you so much for taking the time to write a review.  We are happy to hear that you thoroughly enjoyed your stay. We will be addressing the issues you experienced with Chromecast and the Hyatt app with our engineering department. Our apologies for any inconvenience this may have caused. Please come back and visit us again soon. Thank you so much for choosing Hyatt House Irvine as your home away from home.",5.0 of 5 bubbles,none,none,none,none,none,6,215
none,1 contribution,5.0 of 5 bubbles,Great stay,"This Hyatt  is a fantastic choice for anyone looking for a comfortable and enjoyable stay. The staff is incredibly kind, friendly, and professional, making your stay a delightful experience. The spacious rooms are well-maintained and equipped with all the necessary amenities, ensuring that you have a relaxing and comfortable stay. Additionally, the entire property is spotlessly clean, providing a comfortable and safe environment for all guests. Overall, I highly recommend the Hyatt  for anyone looking for an exceptional hotel experience.",February 2023,none,Traveled on business,"Hello mariagC8197HH,  Thank you so much for taking the time to write a review.  We are extremely happy to hear that the staff was able to really enhance your experience with us. We appreciate the incredible compliments on our property as a whole. Please come back and visit us again soon. Thank you so much for choosing Hyatt House Irvine as your home away from home.",5.0 of 5 bubbles,none,none,none,none,none,7,215
none,1 contribution,3.0 of 5 bubbles,Good,"I had trouble with the sheets, it was giving rash from the day 1. Had a hard time since it was not a well ventilated space in the room. May be the sheet could have been cleaned in a better way. The breakfast was very oriented to meat lovers. the staff was very nice.",January 2023,none,none,"Hello ManojPyla,  Thank you so much for taking the time to write a review. We so appreciate all feedback that is given and we apologize for any issues you experienced with your housekeeping service. We will be sure to take a hard look at this and follow up with our housekeeping department. Our hope is that we can create a memorable experience for our guests during your time with us that will encourage you to come back again. Please come back and visit us soon. Thank you so much for choosing Hyatt House Irvine as your home away from home.",4.0 of 5 bubbles,none,none,none,none,none,8,215
none,1 contribution,5.0 of 5 bubbles,Highly recommend Hyatt House Irvine/John Wayne Airport,"A very clean hotel with friendly staff to help in any way they can. Shuttle transportation to and from the airport was super easy to schedule and very convenient! It runs every half hour. Breakfast hours also seemed a little longer than other hotels, which was nice on mornings that you needed a little extra rest!",February 2023,none,none,"Hello Marina17483468,  Thank you so much for taking the time to leave a review about your experience here at Hyatt House Irvine. We are so happy to hear that the staff made your stay so memorable. Please come and see us again the next time you are in the area.",5.0 of 5 bubbles,none,none,none,none,none,9,215
none,1 contribution,5.0 of 5 bubbles,Awesome Stay,"Stayed for a business training. The hotel was incredibly clean and accommodating. They also have an amazing breakfast with fresh food prepared for you, not like other hotels that require you to make your own waffles/ pancakes. They also have a very nice bar and snack/drink options to buy from the host/hostess.",February 2023,none,Traveled on business,"Hello mckenzycrowberger,  Thank you so much for taking the time to write a review.  We are happy to hear that you thoroughly enjoyed your stay. Please come back and visit us again soon. Thank you so much for choosing Hyatt House Irvine as your home away from home.",5.0 of 5 bubbles,none,none,none,none,none,10,215
