Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
75 helpful votes,48 contributions,5.0 of 5 bubbles,Great accommodations and service,"My mom and I stayed for five days while we were in the area visiting family. We were very happy with our stay. Everything was very clean. Our room was comfortable, the breakfast was good, service was excellent from everyone. We will definitely stay here on future visits.",March 2023,none,Traveled with family,none,none,none,none,none,none,none,1,111
13 helpful votes,56 contributions,5.0 of 5 bubbles,Amazing staff makes for a great stay,"This hotel was phenomenal. It was clean and well maintained. We were treated well, and every staff member took the extra step of engaging with our five year old. It was impressive. The staff in this hotel is working hard and not missing a beat. We also appreciated the quality and variety of the well stocked breakfast. This is a perfect option for a trip to Knotts Berry Farm or the surrounding area.",July 2022,none,Traveled with family,none,none,none,none,none,none,none,2,111
6 helpful votes,26 contributions,5.0 of 5 bubbles,"Great place, great staff, great location","Spent a two half days and one night in Palm Springs with my wife. We needed a restful, relaxing time in between meeting venues and this was exactly what we hoped for. Wonderful accommodations and great location.",January 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,3,111
none,1 contribution,5.0 of 5 bubbles,Very clean and super nice.,"Whenever I needed a printer, they were super nice to help me. In general, this hotel was very clean. And I enjoyed their breakfast specially coffee. Finally, they fixed the other elevator so more waiting",January 2023,none,Traveled on business,none,4.0 of 5 bubbles,none,none,none,none,none,4,111
675 helpful votes,8064 contributions,4.0 of 5 bubbles,Nice Hotel,"Stayed here for our last three nights on our last US trip. It’s a nice clean modern hotel and that still has free parking. The breakfast was good here, in some Hampton hotels the breakfast offering can be very poor now, standards are dropping as prices rise. Staff were nice too and property was well kept.",November 2022,none,Traveled as a couple,none,none,none,none,none,none,none,5,111
none,1 contribution,5.0 of 5 bubbles,Exceptional Hotel and Stay,"I have been staying in Hampton Inns for 20+ years, and they've all been a good experience, which is why I keep staying at them. However, the Hampton Inn in Buena Park was exceptional. The hotel was beautiful and clean, and the staff was wonderful - pleasant, professional, and very helpful. My teenage son and I stayed in a two-queen suite, which was beautifully designed, roomy, quiet, and very comfortable. The breakfast was also good, with a nice selection. We highly recommend this hotel.",November 2022,"Room 329 (two-queen suite) - quiet, beautiful, sunny, large suite",none,none,5.0 of 5 bubbles,none,none,none,none,none,6,111
17 helpful votes,64 contributions,5.0 of 5 bubbles,Westward Bound,My husband and I had a two day stay at this hotel.  We were here to visit our grandson that goes to college in Fullerton.  The staff was very friendly and helpful.  The room was spacious and very clean.  We were very pleased with our stay here.  The hotel is very clean and easy access to the interstate.  Would highly recommend this place.,November 2022,none,none,none,none,none,none,none,none,none,7,111
none,1 contribution,5.0 of 5 bubbles,Ángeles trip,"Clean hotel from lobby to rooms.  comfortable bed, breakfast was great had egg, toast or bagels, waffles , juice fruit  coffee hot chocolate,on front desk could buy water , sodas or frozen food if got in too late and hungry and  great attention.",July 2022,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,8,111
none,1 contribution,1.0 of 5 bubbles,Meh,"Staff is iffy. They pick and choose who to be courteous to. I booked a double Queen suite with sleeper sofa and although my Mother was in a wheelchair, they gave us the smallest crappiest suite in the hotel. Guests are allowed to smoke weed outside in pool area. We felt uneasy. We traveled for our son’s junior concert as a music major. Couch cushions were torn and whoever had the room before is smoked. The thermostat was dangling crooked on the wall. No water pressure in the shower. The only reason we remained at the hotel was because it’s close to the university.",March 2022,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,9,111
49 helpful votes,44 contributions,5.0 of 5 bubbles,"Great Experience, Just Be Mindful of All Ears","pon checking in, my family and I were greeted, acknowledged as Diamond Members, and welcomed back as returned guests. The staff was friendly and helpful. Our room and the rest of the hotel we saw, were clean and nice. We enjoyed our one-night stay and rested well.  Fortunately, everyone we met was nice and helpful. I would suggest that when team members are discussing incidents involving other guests, they do so in their private office and not while at the front desk. As I entered the front desk area, a hotel team member was chatting with another speaking ill-will about her encounter with a difficult guest. She immediately stopped once she saw me, which was when I was at the desk already and heard enough. Thank you!",March 2022,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,10,111
131 helpful votes,800 contributions,5.0 of 5 bubbles,Great service!,"We arrived around 2 pm on Saturday and were greeted with a smile by Alva.  We checked in online, but Alva was able to move us to the 4th floor by my request.  Alva gave us fast, friendly and efficient service on this busy weekend. The upgraded room was very nice, clean and well located.  There was minimal road noise and noise from other rooms.",March 2022,none,none,none,none,none,none,none,none,none,11,111
none,3 contributions,5.0 of 5 bubbles,A Hidden Gem,Everything I look for on a travel trip where I am not going to be in the hotel much was here. Staff was friendly and helpful. Rooms were clean. Breakfast fare was well done and supplied well. Parking lot was well lit. Market store was well stocked. Location was only 4 miles from where I need to go each day. I stayed there for 5 days and absolutely had no issues. Even the guests were polite. I will definitely stay there again when needing to be in the area.,February 2022,none,none,none,none,none,none,none,none,none,12,111
none,1 contribution,5.0 of 5 bubbles,Best hotel by parks,"Staff was super great, hotel was super clean and at a very convenient location. Loved the buffet breakfast and everyone was friendly and accessible. Hotel was very conveniently located. Just wish both washers worked though.",January 2022,none,none,none,none,none,none,none,none,none,13,111
none,1 contribution,5.0 of 5 bubbles,Fantastic hotel,It’s close to many great shops and restaurants.  Everything is within 10 minutes.  The room was clean. The staff was friendly and helpful.   I’d come and stay again.  My next trip will be with my family for leisure.,January 2022,none,none,none,none,none,none,none,none,none,14,111
none,1 contribution,4.0 of 5 bubbles,Excellent hotel,"We stayed in this hotel for our visits to Disneyland and Universal Studios. Distance was not a problem, especially to Disney (15 mins max) and the hotel was clean and comfortable. We may definitely stay here again.",December 2021,none,none,none,none,none,none,none,none,none,15,111
none,1 contribution,5.0 of 5 bubbles,Always amazing staying here,You will not find a better place to stay always clean and the staff is amazing. Breakfast is the best!!!!!! One thing I love is that everyone at this place is always so help full and willing to help with anything,December 2021,none,none,none,none,none,none,none,none,none,16,111
none,1 contribution,5.0 of 5 bubbles,Close to all the attractions,"Enjoyed our stay here! They upgraded our room to accommodate an extra kido. Breakfast was awesome, and the hotel was quite. Happy we found this spot foe our trip to Disneyland and Knotts berry farm. The drive was only 5 minutes to either location!",December 2021,none,none,none,none,none,none,none,none,none,17,111
none,1 contribution,5.0 of 5 bubbles,Knotts trip,"Highly recommend this hotel!!  Will go back at anytime. Good treatment, excellent breakfast, clean, and close to freeway. Family was really happy staying here. Checking was also really fast. Hope everything stays the same for our next trip.",December 2021,none,none,none,none,none,none,none,none,none,18,111
1 helpful vote,2 contributions,5.0 of 5 bubbles,Great lace to stay near amusement parks,Great service. Clean hotel. Breakfast was decent and well stocked. Great location near parks. Some noise from elevators could be heard early in the morning as we had a room right off the elevators. Would try to get a different location next time for this reason.,November 2021,none,none,none,none,none,none,none,none,none,19,111
none,1 contribution,5.0 of 5 bubbles,"A Wedding party, excellent accommodating staff and facilities!","In for a quick Wedding party stay for several days. Very accommodating to bride and groom and guests. Made sure our daily cleaning schedule was accurate and often and asked for any other assistance they could provide me.I was pleased with their service and left a $20 tip for housekeeping. Overall, a very well organized and well run hotel.",November 2021,none,none,none,none,none,none,none,none,none,20,111
none,1 contribution,5.0 of 5 bubbles,Great room and great customer service,Everyone was very friendly and welcoming and the room was nice and clean and great location we had forgotten a couple of things and the front desk took care of us which was super nice we had a great time and will be staying here again,November 2021,none,none,none,none,none,none,none,none,none,21,111
none,7 contributions,1.0 of 5 bubbles,DO NOT STAY HERE!,Stayed here due to its proximity to Knotts berry farm. Walls are literally paper thin. So thin that we were kept up by one neighbors tv at normal level and phone conversation like he was sitting in our room. And then woken up at 5am by our other neighbor having multiple rounds of sex with someone. When complaining to the front desk of what was going on the girl knew exactly who was in the room next to us- making me believe this is known lady of the night using the room next to us. They told us they were going to ask her to leave immediately. But not before having one more round of sex with my kids listening. I was mortified and it was a horrible ending to a very nice trip to California.    Front desk was very apologetic but told we can contact the manager on Monday when he’s in.,November 2021,none,none,none,none,none,none,none,none,none,22,111
21 helpful votes,45 contributions,5.0 of 5 bubbles,Perfectly Convenient,"Parking was easy, check in was choice of electronic or front desk, elevator, extremely sanitary and friendly staff, right off the freeway with a gas station across the street, grocery store and shopping nearby, too!",October 2021,none,none,none,none,none,none,none,none,none,23,111
16 helpful votes,7 contributions,5.0 of 5 bubbles,Great hotel!,I booked this to be close to my daughter in Fullerton and was nervous when I pulled up because it’s in a kind of industrial neighborhood. It was AMAZING. A 10min drive to both Disney and Knotts. The suite was MASSIVE and the price was amazing. It was so clean and there was a huge breakfast. Will absolutely stay here again! We only stayed one night but I was very VERY impressed.,October 2021,none,none,none,none,none,none,none,none,none,24,111
none,42 contributions,5.0 of 5 bubbles,Very nice centrally located property,"One of the nicest Hamptons inns we've stayed at.  It felt new or recently remodeled.  Location was centrally located and had benefits that hotels closer to Disney didn't offer, like free parking and breakfast.  Staff was friendly.  This was the nicest of the 3 hotels we visited during our stay in SoCal and one of the most reasonably priced.  Not much around the hotel, but everything you need is accessible within a few minute drive. Highly recommend.",October 2021,none,none,none,none,none,none,none,none,none,25,111
none,1 contribution,5.0 of 5 bubbles,It's Just a Hotel,"I stay at many hotels.  The difference here starts when you check in.  Attitude tells a lot and starts at the front desk.  Small things like extra room coffee, can we get in early, etc. puts this place on top of my search when I return to this area.  It's just better.",September 2021,none,none,none,none,none,none,none,none,none,26,111
none,1 contribution,5.0 of 5 bubbles,Great Stay,"The hotel has very clean rooms and the staff does everything to keep the rooms, hallways and pool area sanitized. The Hampton also has Great and friendly staff that are there for your every need and accommodates you as much as possible. Not to mention those comfy beds and pillows",September 2021,none,none,none,none,none,none,none,none,none,27,111
