Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
2 helpful votes,1 contribution,1.0 of 5 bubbles,Stay away !,"You are better off sleeping in the gutter than staying at this place!  No phones, no alarm clocks in the room, no wake up service even!  On top of everything else, the place is a dump! The service was rude.  I am serious, stay anyplace but in this drive...",May 2013,Stay away!,Traveled solo,none,4.0 of 5 bubbles,none,none,none,none,none,1,418
1 helpful vote,1 contribution,2.0 of 5 bubbles,Internet Problems N More,"i checked in last week and my stay was terrible, the service was absouletly perfect, the managers son dursuan helped me a lot, however the room was good but the bed was fustrating, it kept moving all night, i coundnt get a good night sleep, the plastic kept moving the matress, and the internet would not connect at all, and when it would it would disconect, but dursuan helped out a lot with the internet, but it would be nice if it was fixed. maybe have the manger instal a few routers or a access ppint so more signal comes to the customers.  **** Seriously HAVE THE MANGERS DO SOMETHING ABOUT THE INTERNET!!  Would i come again? Maybe if the internet was ffiixed.",September 2012,Chose a closer room so wifi is perfect for use.,Traveled as a couple,none,5.0 of 5 bubbles,none,none,none,none,none,2,418
none,4 contributions,2.0 of 5 bubbles,Can't have visitors,"I just checked out of this place, rooms aren't too bad, it's the owner. He's a dirty sleaze bag. Dont stay here, he charges you a 'deposit' then makes up reasons why he can't return it. Also, nobody but you can step foot in 'his' rooms. Don't expect a pleasant Stay! Stay away!!!!",May 2012,none,none,none,2.0 of 5 bubbles,none,none,none,none,none,3,418
