Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,1 contribution,5.0 of 5 bubbles,Home away from home,Yes hello my girlfriend and I stay at the centery motel in Buena Park when our house is getting renovation nissian is a very good manager him and wife are super friendly never no negative y 👍👍👍👍👍 I wouldn't pick no other place thanks to centery for giving us a home away from home,September 2020,none,Traveled as a couple,none,none,none,none,none,none,none,1,393
1 helpful vote,1 contribution,5.0 of 5 bubbles,"Really cool manager, and affordable price.","Have been here before, it was not bad last time. But over couple of years they have improved to good extent. Great room service and also we needed some sort of help and the manager was quick to act. Quiet and clean neighborhood. Will visit again when we are back visiting OC.",August 2016,"Fast Service, Suite is great! , A/C was bit noisy, Try the non-smoking rooms.",Traveled with family,none,none,none,none,none,none,none,2,393
3 helpful votes,6 contributions,4.0 of 5 bubbles,Quiet and friendly staff,"I enjoyed my stay at Century Motel in Buena Park, Ca. The atmosphere is cozy and quiet. It is located close to shops and Knotts Berry Farm is minutes away. As well as Buena Park Mall is minutes away. The rooms are Cleanly and have been updated.",March 2016,none,Traveled with family,none,none,none,none,none,none,none,3,393
none,1 contribution,4.0 of 5 bubbles,NICE AND QUIET,"Great overall experience! I've read all those other reviews and in my opinion I THINK that they are late on taking their Meds! My room was very clean alil dated but very clean! Hardwood floors, internet, cable, and peaceful! Run by a small staff and they are so very accomendating!  Outside is kept clean also, Overall I enjoyed myself!",February 2016,"Ask for a second floor South side room its away from the street, so no traffic noise",Traveled on business,none,4.0 of 5 bubbles,none,none,none,none,none,4,393
34 helpful votes,17 contributions,1.0 of 5 bubbles,Absolute worst experience ever.,"If you want free porn, and a ""mattress"" that feels like you are sleeping on hardwood floors and linens that smell and feel like they've never been washed, and bath towels that are only big enough for your face, buy this room. It was so horrible. It felt like one of those motels you see in the movies where people meet up with hookers and drug dealers. And we took our kids here! Absolutely terrible",March 2014,none,none,none,1.0 of 5 bubbles,none,none,none,none,none,5,393
