Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,1 contribution,2.0 of 5 bubbles,Out-dated,Very outdated rooms. Not the cleanest hotel but we came prepared with our lysol wipes to clean things down ourselves. Room was very noisy. You could hear the person walking upstirs. No hot water if waking around 8 am. I had to wake up earlier to use hot water. Nails were sticking up from the floor trim in the bathroom. We had to cover it with Band-aids to protect our family. Grab and Go breakfast was not readily available but sign say you can get certain items on the go. I asked for a bottle of water and told I had to be a member. We stayed 6 nights and was never there except to sleep. Also wanted to note how dirty the pool and jacuzzi was. The water in the jacuzzi was yellow. Just gross!!,February 2023,none,none,"Thank you for completing the survey regarding your recent stay at our property.   On behalf of our entire team, I would like to apologize for not exceeding your expectations. Your satisfaction is important to us and we will be using the feedback you gave us to implement improvements to ensure we offer a better experience for guests in the future.   I hope that you will consider staying with us again so that we can have another chance to provide you with a superior experience.   If I can provide any assistance, please don't hesitate to contact me directly at 9493809888.",1.0 of 5 bubbles,none,none,none,none,none,1,300
22 helpful votes,42 contributions,5.0 of 5 bubbles,Enjoyable stay,"This is by no means a 5 start property since it is a Best Western Plus but I am giving it a 5 star review. After reading all the reviews I was hesitant to stay here worried about the place being dirty and full of homeless people but that is the case. I've stayed at a lot of hotels and during my National Parks trip through Nevada, Utah, and Colorado I've stayed at a lot of Best Western Plus since they're the closest to the National Park entrances.  When we got here at check in the gentleman at the front was wearing a mask and greeted me and thanked me for being a gold member. He was very polite and friendly. Got to our room and the keys didn't work. When we headed back to the elevator a worker was coming off who just so happens to be the one to fix the doors and he promptly fixed",June 2021,none,Traveled with family,none,none,none,none,none,none,none,2,300
37 helpful votes,162 contributions,5.0 of 5 bubbles,First class,"Wow, this hotel is either newly renovated or new. It's amazing inside and the rooms are suites with two queen beds, and another person can sleep in the front room. Wonderful bathroom, separate sink outside the bath area for getting ready two great TVs.    They have a giant dining room, where they serve the free breakfast with hot cooked eggs and bacon and hashbrowns, and everything imaginable that you could ever want for breakfast and including table side waitress first class Everything top notch I would certainly stay here again.",February 2023,none,Traveled solo,none,none,none,none,none,none,none,3,300
none,1 contribution,5.0 of 5 bubbles,Awesome,It was great stay except was by stairs and a bit of noise during night. Everything else was great. Clean and room smelled nice.  Awesome location close to freeway.  I really enjoyed the stay  customer service was great and attendant was nice and friendly.,January 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,4,300
none,5 contributions,5.0 of 5 bubbles,"Quiet, clean and would return again.",This place was clean. This place was accommodating. The free breakfast was probably our favourite part. It was delicious. I have nothing but good things to say about this place aside from not getting our room cleaned when we went on a family outing. We were gone all day and hoped we’d have clean towels and our beds made when we returned. But this place is quiet and felt safe. I’d definitely stay here again.,December 2022,none,Traveled with family,Thank you for your rating and compliment. We greatly appreciate your feedback! We look forward to seeing you again.,none,none,none,none,none,none,5,300
8 helpful votes,12 contributions,3.0 of 5 bubbles,Just OK,"We have stayed at this property in the past and were very pleased.  Sadly, this stay was just OK - maybe new owners?  We were told upon arrival that the water was going to be shut off at 10am the next morning.  We had hoped to sleep in a little, but no such luck.  We understand things happen that are beyond control sometimes, but we just wished we had known this when we booked our stay.  Will we stay here again - sadly, we'll probably look elsewhere.",December 2022,none,none,"On behalf or our team, I sincerely apologize regarding water shut off. It was actually a 30 minutes check just make sure we met the city of lake forest standard. I apolgize you were not made aware of it ahead of time. We look forward towards earning back your business in the future.",4.0 of 5 bubbles,none,none,none,none,none,6,300
3 helpful votes,10 contributions,4.0 of 5 bubbles,Very Comfortable stay!,"I never sleep in hotels, ever.  This is the only hotel I've ever been able to sleep like a rock every night.  Beds were comfortable with multiple pillows, great heating/cooling, all amenities needed for a comfortable stay - seating room, working fridge, amble room.  Drawbacks: Sink is outside of the bathroom area - since we were staying with our adult daughter, it was difficult to bring in all of our toiletries/clothing into the bathroom to get ready without a place to put it all, small space to work in and the fan wasn't powerful enough to pull all the steam out so it wasn't the most pleasurable experience with that process (even with the little window open).  Water pressure was okay but shower head couldn't give a full body spray with power.  Breakfast was the same thing",December 2022,none,none,"Hello,   Thank you for completing the survey regarding your recent stay, I appreciate your positive feedback regarding the room and how comfortable the beds were.  Elevator is on schedule for modernization we're just waiting for all the parts to be delivered, hopefully will be done with this project early next year.   Your satisfaction is important to us and we will be using the feedback you gave us to implement improvements to ensure we offer a better experience for guests in the future.",5.0 of 5 bubbles,none,none,none,none,none,7,300
none,1 contribution,4.0 of 5 bubbles,CLEAN BIG ROOM,"Room was clean when we walked in. Room had 2 rooms a living room and then a bedroom and bathroom. Was nice to have your room freshened up everyday been so long since they did that. Food for breakfast was good, they had a cook, and he was cooking fresh food and he serves and plates it for you another gentlemen was helping out keeping the tables clean and things full. Parking was good and I was glat that they didn't charge for parking as so many do now a days. Friendly staff.  I did use the washer and dryer. It was a little pricy to use at $4 to wash and $4 to dry, also it was all card not coin operated. I always appreicate when hotels have the option to do laundry as i hate bringing back dirty clothes and since we mostly travel for sports i always need to keep the uniforms clean.",November 2022,none,none,It was a pleasure to have you as a guest. I appreciate your positive feedback. We can't wait to see you again.,4.0 of 5 bubbles,none,none,none,none,none,8,300
none,1 contribution,3.0 of 5 bubbles,We nicknamed it Juvie,"How this is a Best Western plus is beyond me. Honestly, the joke was we were staying in a jail. The rooms are sad. They only have half lumpy pillows. We couldn't figure out if they cut them in half. The sheets were worn and rough. The blanket on top super thin. The windows in the back were dangerous. There is a ridiculous walkway behind the rooms which was super concerning. The sliding door had a good lock but the bathroom window which would fit a human had a really flimsy lock. Both windows lacked sealing so the air was cold. Because of those back windows on a walkway as well as the front -there was no natural light as we kept the  blinds closed. The front desk folks were nice. And the breakfast was the only thing that resembled a Best Western Plus. Good food, nice space.",November 2022,none,none,I apologize on behalf of the team for falling short of your expectations. We'll work on the problems you stated for sure.,none,none,none,none,none,none,9,300
none,1 contribution,5.0 of 5 bubbles,Happy Mimi,"We visit our grandson at least once a month sometimes more. Best Western had never failed us. We always look forward to our visits. Best breakfast, the staff is always friendly and helpful. We always recommend the Lake Forest location to our family and friends.",November 2022,none,none,I appreciate your valuable feedback. We look forward to seeing you again. thank you very much,5.0 of 5 bubbles,none,none,none,none,none,10,300
