Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
2 helpful votes,2 contributions,1.0 of 5 bubbles,no good gina,meth dealer on site but she's okay to staying there taking cash from only her  that place dont want real ppl hes fake and only mess with fake ppl ask the trift store hoodlums hoping wall and stealing all parkside residents,March 2021,none,Traveled with family,none,none,none,none,none,none,none,1,391
1 helpful vote,3 contributions,5.0 of 5 bubbles,Great Room Very Very Clean,OK so I checked into this room in late July and I’ve been staying here since August the room is very clean very quiet comfortable and firemen what I like about the room the most as it was right next to AutoZone so many things wrong with my car I can go right next-door it’s shopping with in the area like KFC Starbucks is around the corner and Disneyland is not too far away may be like 20 minutes but after all the room is perfect the guy at the front desk is really nice his name is Mike the housekeepers are very sweet and one thing that I do like about it is that the housekeepers are very very clean when it come  To doing the rooms and I love cleanest and the shower is great one for you body and one part for your head it feels great. And if you’re looking for a room where you,August 2020,none,Traveled with friends,none,none,none,none,none,none,none,2,391
3 helpful votes,1 contribution,1.0 of 5 bubbles,Business,The smoke alarm battery decided to go bad at 5:00 am.  I called the front desk.  They came to put another battery in and it was another bad battery.  They finally just took it out after i requested it so I could get some rest.  Never got back to sleep.  Complained to the front desk upon check out and the front desk told me there was nothing they could do to compensate me.  I will never go back and would not suggest this hotel to anyone ever.,October 2019,Do NOT book this hotel.,Traveled on business,none,none,none,none,none,none,none,3,391
2 helpful votes,11 contributions,1.0 of 5 bubbles,"Dirty, Smelly, NEVER, EVER again","I would NEVER stay here again. We checked in late in the night, after 9pm. The front desk guy was nice and friendly. Did the normal check in as most hotels do. We went to our room, dropped off our stuff and took off for an already scheduled event. That is where we made our mistake. Upon entering the room, there was an odd smell but we just opened the window, in hopes that would fix, it and left. We also noticed stains on the comforters but figured we just won't use them. We did not get back to the hotel until after 230AM. Getting back into our room, we noticed things weren't up to par. The smell was of urine and leaving the window open did nothing to get rid of it. We went in to use the bathroom and noticed the floor had hairs all over it. After some of my party, laid down due",July 2019,none,Traveled with family,"Dear Guest , we have clearly investigated all the issues you mentioned and there was nothing as you mentioned  ,even the pictures you posted does not show anything which you are complaining about  . when we offered you the other room you had issues with that too , we rented both the rooms and none of the guests reported anything which you mentioned , we have already refunded for the 2nd night despite its a non refundable reservation , we are known for our cleanliness , we take our business seriously and that's why we are busy all the time and have top rated reviews , we apologies for the inconvenience you had at our property",none,none,none,none,none,none,4,391
9 helpful votes,5 contributions,5.0 of 5 bubbles,Amazing!,"Traveling for business or just need a place to rest and freshen up? This place is AMAZING! So Clean, staff is so friendly, honest to God one of the best. Lobby has so much brochures that offer extensive information of what to do while in the area. Quiet, Safe, did I say CLEAN?!?! a MUST STAY! Better that other hotels hand down.",June 2019,Any Room is Awesome,Traveled on business,"Dear Nancy ,  Thank you for taking time to share your review! Our team works hard to ensure every guest has a pleasant stay and we appreciate your review. We're glad to hear that you enjoyed your stay with us, we hope to see you again! Thank you again for your time and have a wonderful day!",5.0 of 5 bubbles,none,none,none,none,none,5,391
107 helpful votes,105 contributions,2.0 of 5 bubbles,Unclean and Uncomfortable,"I do not know what the expectations of the people who have stayed at this property and left great reviews are, but this property did not meet my expectations based on the reviews I read.  It was unclean, and by unclean I mean that you cannot trust that housekeeping changes the sheets between guests and there was a urine stain on the bathroom floor in one of our rooms.  It is also in a rough neighborhood full of dive bars.  Here was my experience: Check-in:      Lobby was okay, but I was immediately taken aback by the fact that the front desk staff was sitting behind a glass wall and you have to push your ID and credit card through a pass through like at a drive up bank teller window.  This does not immediately tell a visitor that this is a friendly and guest oriented",May 2019,none,Traveled with family,none,2.0 of 5 bubbles,none,none,none,none,none,6,391
75 helpful votes,163 contributions,4.0 of 5 bubbles,Newly Renovated,"We stayed at this motel for one night during a trip to Orange County. Although Disneyland was not in our plans it is located less than 3 miles from Disney and was competitively priced for the area. It is a one level motel with easy access to the room. It has been completely renovated so the rooms are very clean and modern. It was quite a comfortable stay. Our room had hardwood floors, a fridge, a microwave, and a desk. There was not much nearby as far as restaurants to walk to but there were many choices nearby using our car. Overall, we were satisfied with our stay and would stay there again if our travels included a stay in that area.",May 2019,none,Traveled as a couple,none,3.0 of 5 bubbles,none,none,none,none,none,7,391
1 helpful vote,1 contribution,5.0 of 5 bubbles,Great Room 👍,"Very beautiful clean rooms, love the custom shower!This hotel is completely remodeled.  Coffee,fridge,WiFi,etc everything you need. I give them 5 stars. Great customer service and 24hr surveillance on the premises. I felt like I was on a mini getaway without going to far from home. Will definitely be returning very soon!",March 2019,none,Traveled with family,"Thank you for taking the time to share your review! Our team works hard to ensure every guest has a pleasant stay and we appreciate your review. We're glad to hear that you enjoyed your stay with us, we hope to see you again! Thank you again for your time and have a wonderful day!",none,none,none,none,none,none,8,391
none,1 contribution,4.0 of 5 bubbles,President of my Own Smog Inspection & Vehicle Registration Company. ( 6 Locations ),"Newly Remodeled, Very Well Done. The Woman who Checked me in was Extremely Helpful & Polite. I own my Own business & I know, the Most Important Factor to Run Any Successfull Business , Employees. She Actually Looked as if She Enjoyed her Position. It’s just Refreshing to see . The Amenities in the Room , Pretty Good. Mattress & Pillows , Sheets Very Nice. Only 2 Suggestions. Upgrade the Towels. And more Lights in the Rooms . Under the Tv, you could even put 1 Rope Light.  In Summary. I will Definitely Stay here again. Location is Smack in the middle of Anaheim, so everything you could want, is Close by. Thanks. Richard",March 2019,none,Traveled solo,"Thank you for making Parkside Inn your choice of stay. We like to think of our place as an affordable place for families hoping to get the best value during their vacation. We're thrilled to see that you enjoyed your stay with us. Thanks again, we look forward to welcoming you back again soon next time you visit the area.",none,none,none,none,none,none,9,391
none,1 contribution,5.0 of 5 bubbles,3RD TIME LUCKY,"Excellent stay !!! We stayed for 3 days and from the minute we arrived you could tell you were at the best motel we ever stayed.All the staff were always smiling and really seemed like they enjoyed their jobs and were constantly checking in to make sure all was well.Our room was very clean with a modern bathroom  ,rain shower was awesome .This is the second  time we have stayed at parkside inn  and we will be back.also they have installed new Cable line today so it has now got ESPN, HBO now , no reason to complain about , another reason to make it my favorite in Anaheim",February 2019,"the rooms are modern , no doubts but they have a refundable deposit of $100 at check in",Traveled with family,"Thank you for making Parkside Inn your choice of stay. We like to think of our place as an affordable place for families hoping to get the best value during their vacation. We're thrilled to see that you enjoyed your stay with us. Thanks again, we look forward to welcoming you back again soon next time you visit the area.",none,none,none,none,none,none,10,391
