Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
1 helpful vote,1 contribution,2.0 of 5 bubbles,Terrrible 2 nights of sleep,"We stayed here with short notice, so were given the least desirable room in the entire hotel #207.  We were given no warning about it.  We checked in and were impressed to its size; it looked comfortable and did not have an issue until we went to bed the first night.   I thought there was a semi pulling into side street.  When the noise did not let up, I got up looked out the window, no trucks outside but noticed water pipes and a control for them next to the pipes.  I deduced that the noise was coming from the unmarked room next to ours--the walls vibrated with the noise of screeching metal.  The noise had no rhythm  to it--so it took a lot of effort to get to sleep.  Needless to say I was a little sleep deprived the the next morning.  At the breakfast provided by the hotel the",January 2023,none,none,none,none,none,none,none,none,none,1,99
none,2 contributions,5.0 of 5 bubbles,Great Service from Daisy,"Daisy greeted us and checked us in.  She was also there the next morning to sort out some issues we had with the room overnight.  She was there when we called to see if housekeeping had found an item we had left behind and she was also there when we came back to pick up the item.   Each time she was pleasant, attentive and reliable - facilitating what we needed with minimal fuss and a calm authority.",August 2022,none,Traveled with family,"Hi Horridson, First and foremost, thank you so much for choosing to stay with us! My team and I greatly appreciate you leaving a positive review with us. I will be sharing this review with Daisy. Again, thank you so much for staying with us. We look forward to seeing you again. Warm regards, Erik and the Holiday Inn Express Newport Beach",none,none,none,none,none,none,2,99
none,1 contribution,5.0 of 5 bubbles,Great Place To Stay!,"Raul at Check in was amazing! Super helpful! Rooms were clean, good amenities. Also saw DeShawn carrying an old couples luggage for them. Great Staff, Great Stay, will visit again!! Raul recommended joining the ihg rewards program to save on a parking pass!!!",February 2023,none,Traveled as a couple,"HI G6640TEzachc, Thank you for taking the time and leaving a positive review about your recent stay with us. I'm pleased to hear that my staff went out of their way to assist you with your luggage's along with signing you up with our IHG one rewards membership. Again, thank you for leaving a review with us. We look forward to seeing yo here again.  Erik and the Holiday Inn Express Newport Beach",none,none,none,none,none,none,3,99
5 helpful votes,45 contributions,1.0 of 5 bubbles,Find another hotel,"The Holiday Inn Express in Newport Beach is comparable to a  Motel 6. The guest services, especially reception are sorely lacking, the room showed evidence of limited housekeeping with ground-in popcorn on rug and significant deferred maintenance. The only bright spot was the breakfast bar and the lovely woman who worked there. This property needs oversight from its owners and IHG. As a frequent IHG guest this property is far below standards.",February 2023,Find an alternative hotel.,Traveled as a couple,"Dear Rolf, Thank you for being an IHG One Rewards Gold Elite Member and taking the time to complete a TripAdvisor review. All of us at the Holiday Inn Express Newport Beach take your comments very seriously and are disappointed that we did not meet your expectations. I understand your frustration (or disappointment) with quality of the room and service. We have taken the following steps to correct the issues you experienced during your stay.  I have sent your feedback to our management team to ensure these issues are thoroughly addressed. We appreciate your loyalty and feedback as one of our IHG One Rewards members and will use your feedback to implement changes to improve our guests experience.  We strive to meet and exceed our guests expectations and I regret to hear that your experience as a member was below par. For the inconvenience you experienced during your stay I have deposited 20,000 to your IHG One Rewards account.  We appreciate you bringing these problems to our attention, as we can only improve when we learn of our shortcomings from our guests.  If you will be coming back to the Newport Beach area I please feel free to reach out to me personally. We would be happy to have you stay with us again if you’d provide us the opportunity in the future. I’d be happy to help you book your future stay and ensure that your stay as one of our loyal IHG One Rewards Members is a pleasant and memorable experience.  Warm regards, Katie Barker Front desk supervisor",4.0 of 5 bubbles,none,none,none,none,none,4,99
3 helpful votes,14 contributions,4.0 of 5 bubbles,Great stay,"The hotel was fine. The beds and pillows were very comfy, slept great! The water pressure was pretty weak, but that's really the only problem we had. There was a little hiccup with our billing, but DeShaun got everything straightened out. He was awesome!",February 2023,none,Traveled on business,none,none,none,none,none,none,none,5,99
none,1 contribution,5.0 of 5 bubbles,Great place,Awesome place. Clean. Breakfast was great. Deshaun behind front desk was awesome and helpful and rooms very nice. Great location near a lot. Crystal cove state park nearby with nice beach and walking trail.,January 2023,Near crystal cave state park and lots of restaurants,Traveled on business,none,5.0 of 5 bubbles,none,none,none,none,none,6,99
none,1 contribution,4.0 of 5 bubbles,Guest- focused team,Staff are so accommodating - I appreciated their help in letting me check in early after my cross country travel.  Staff always checked to see if they could be of assistance. I would recommend giving this Holiday Inn Express a try!,January 2023,none,Traveled on business,none,none,none,none,none,none,none,7,99
none,1 contribution,5.0 of 5 bubbles,Convenient for us,"The price was fair, location for us was great because my dad lives about a mile from the hotel, and we were able to walk to several exotic car dealers, bakery, and pubs. Relatively quiet hotel., and a great selection for breakfast. Very friendly staff.",January 2023,none,Traveled with family,none,none,none,none,none,none,none,8,99
none,none,5.0 of 5 bubbles,Excellent experience. Very clean hotel. 5 stars .. wonderful staff!!,"This was an excellent hotel experience. From a very friendly and easy check in. To arriving in one of the cleanest and nice smelling hotels. While the hotel is older, we felt the housekeeping crew really worked hard to keep things clean. The day we asked for a restock of towels. They completely cleaned and made our beds for us. We saw the housekeepers hustling every day, cleaning inside and outside. I can’t express our gratitude for the hotels cleanliness.   The breakfast and coffee each morning were made fresh, and never ran out. When there was a need for a fresh coffee pot, one was ready to go.   The front desk staff, especially Leanne. Made us feel welcome every morning as we made our way in to the lobby for breakfast. They treated our sweet 4 yr old daughter with kindness",January 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,9,99
3 helpful votes,10 contributions,5.0 of 5 bubbles,Great hotel,Stayed here for one night. Staff were friendly and efficient. Rooms were clean and quiet. Breakfast  was great with varied choices.  Only down-side was it quite a walk into the center but most people I guess drive to the hotel. The fitness room was a plus for a Holiday Inn. Great stay and would definitely stay again. I suggest book early as from my time at the reception desk it sounds like they fill up quickly!,December 2022,none,Traveled as a couple,none,none,none,none,none,none,none,10,99
none,none,5.0 of 5 bubbles,Amazing staff!,Katie at the front desk was amazing! I’ve only stay at this property a couple times but she recognized who I was the second time I had stayed here. I’ve never had a front desk person recognize me when checking back into a hotel. It felt really good when she gave me a warm welcome back after returning to this location a year and a half later.,January 2023,none,none,none,none,none,none,none,none,none,11,99
3 helpful votes,3 contributions,5.0 of 5 bubbles,Great service,"Maria at the front desk was welcoming, personable, friendly and went above and beyond to make me feel special and at ease. I was not expecting this level of custom service at this reasonable price point. Location is convenient to Santa Ana/Orange county airport and Balboa Island. Walkable to restaurants and bikable to the beach.",January 2023,none,none,none,none,none,none,none,none,none,12,99
none,none,5.0 of 5 bubbles,Superb and reasonable price,"The hotel is a great part of the cijity and it’s staff treats you like family  we have been going to the hotel for years and it always surprises positively - great gym, pool, food and can walk anywhere",January 2023,none,none,none,none,none,none,none,none,none,13,99
2 helpful votes,5 contributions,5.0 of 5 bubbles,Great stay!,"Wonderful hotel! The staff was great, breakfast was tasty, and the location can’t be beat! The room was clean and the staff was very accommodating. I will stay here again when I’m back in Newport Beach!",December 2022,none,none,none,none,none,none,none,none,none,14,99
none,none,5.0 of 5 bubbles,Staff made it amazing,"Raul and Leanne thank you totally made my stay.  I stay in hotels all over, the big difference here is the staff.  After not being here for a few months when I walk back in they remembered me by name and memorized my routine to really personalize everything.  I appreciate everyone there, including the kitchen staff and can't wait to come back.",December 2022,none,none,"Hi Cosmor83,  Thank you for taking the time to write your glowing review for our property! We are thrilled that you enjoyed your stay with us. I am so pleased that my front desk agents Raul and Leanne gave you a warm welcome back. We love to help our guests feel at home, even while they are traveling. We thank you for choosing us each time you come to Newport Beach. Again thank you for leaving a positive review with us. We look forward to seeing you again.  Erik and the Holiday Inn Express Newport Beach",none,none,none,none,none,none,15,99
none,none,4.0 of 5 bubbles,Great!,"Leanne @ the front desk was welcoming, helpful and friendly-- such a delightful person. Our rooms were clean, beds comfy, breakfast was delicious and location of the hotel just perfect. We'll be staying again. Thank you!",December 2022,none,none,"Hi 717Robynk, Thank you for taking the time and leaving a review with us about your recent stay. We are delighted that you enjoyed the amenities during your time spent here with us. I am thrilled to hear that you mentioned Leanne being helpful and friendly. Again, thank you for staying with us. We look forward to hosting you again. Erik and the Holiday Inn Express Newport Beach",none,none,none,none,none,none,16,99
none,none,5.0 of 5 bubbles,Nice place to stay for family reunion,"We were here for a family reunion.  Rooms were fine, clean and comfortable.  TVs in the room were great large screen. Breakfast bar is one of the best for any hotel. Staff very friendly. Would recommend this hotel as the location is great.",November 2022,none,none,"Hi E5021RBricks, Thank you for writing to us about your recent stay! We are so glad that you enjoyed your stay and the amenities that we offer including our comfortable beds, and complimentary breakfast. I greatly appreciate the kind feedback in regard to my staff members too. Thank you for choosing us and recommending our hotel as well. We look forward to seeing you here again with us. Erik and the Holiday Inn Express Newport Beach",none,none,none,none,none,none,17,99
