Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
159 helpful votes,215 contributions,3.0 of 5 bubbles,Spacious room but no storage - Great service at front desk but not for breakfast,"What a mixed experience: - While the room was spacious and beautiful, there was no storage. The bathroom had one single hook. The water pressure in the shower was quite weak. - The mini fridge was modern and cool-looking. - Melissa and Irwin at the front desk were very helpful. However, the breakfast menu was extremely limited, and the service was rather unpleasant. - As Titanium members, we were offered a voucher instead of free breakfast. Since the breakfast was so weak, we tried to redeem for the shop items, but it proved to be quite impossible because none of them had any price tag. We were told to bring the item we wanted to the front desk to check for its price. Strange!!!",June 2022,none,none,none,none,none,none,none,none,none,1,154
none,2 contributions,5.0 of 5 bubbles,"New, stylish, great lighting and great location","Stayed here for one short night, but was impressed. Super clean, super new, spacious rooms, comfortable beds, stylish lobby bar and fantastic location - walk to multiple restaurants etc. The price was reasonable and far more posh than the Hampton inn the previous night - same price.",January 2023,none,Traveled on business,none,none,none,none,none,none,none,2,154
none,1 contribution,5.0 of 5 bubbles,Such a wonderful experience!!,"We came to celebrate our 5th year wedding anniversary and it was a great experience. Michael, at the front desk was amazing!! He had great tourists recommendations for us and he provided great customer service! I frequent a lot of hotels, so I know that this type of work ethic is very hard to find.   And Kyle!!— he was our bartender. He did a great job.   We will definitely come back.",December 2022,none,Traveled as a couple,none,none,none,none,none,none,none,3,154
none,1 contribution,5.0 of 5 bubbles,Long weekend stay,"Very nice hotel, especially at this price point.  Room was clean, comfortable and spacious.  Service and professionalism from all hotel staff was exceptional.  (Front desk, valet, restaurant, housekeeping)",December 2022,none,none,none,none,none,none,none,none,none,4,154
none,1 contribution,5.0 of 5 bubbles,Michael is the best,Michael at the front desk was so helpful and friendly. He simply provided the best check-in experience ever. He knew everyone in the lobby and checked in with our group whenever we walked by. I really appreciated his upbeat personality. Genuine.,December 2022,none,Traveled on business,none,none,none,none,none,none,none,5,154
none,none,5.0 of 5 bubbles,Amazing staff!,The staff were incredibly helpful and kind.  Joe at the front desk and miriam behind the bar were so kind and I really enjoyed their service.  Great staff and a great experience.  I will definitely be coming back,November 2022,none,Traveled as a couple,none,none,none,none,none,none,none,6,154
1 helpful vote,2 contributions,5.0 of 5 bubbles,People make a difference,"I had a great stay at this hotel. I traveled with my wife. Everything was perfect. Great room, very clean. I stayed in many other hotels in 7 different states during my trip to the US. The staff in the AC Irvine was extra nice, particularly Nyah. She served all our breakfasts in our 10 day stay. We shall definitely come back!",July 2022,none,Traveled as a couple,none,none,none,none,none,none,none,7,154
none,1 contribution,5.0 of 5 bubbles,The place to stay in Irvine,"This hotel is great! Just 6 minutes from the airport and centrally located to restaurants and nightlife. There are a lot of places within walking distance.  Now as far as the Hotel. It is laid out nicely with plenty of amenities and the bar is great. Miriam and Anna are fabulous and take great care of guests. They are always funny and smiling and have a customer service, customer first attitude.   The rooms are very nice and modern almost to a fault as most modern hotels don't have a lot of room if you plan on staying past 3-4 days.   This was my 3rd time staying there and I will continue to stay there due to the Staff, The Location and the hotel as a whole.",October 2022,All the rooms are good. If you prefer more quiet of a room have them place you toward the...,Traveled on business,none,none,none,none,none,none,none,8,154
none,none,5.0 of 5 bubbles,Fabulous!!,AC Hotel receptionist Joycelyn is fabulous. She gave us a very friendly greeting. Her smile made my day every time I walk through the lobby. The room was super clean. It would be a great night if the bed sheet fabric feel smooth and softer.,November 2022,none,Traveled as a couple,none,none,none,none,none,none,none,9,154
none,1 contribution,5.0 of 5 bubbles,ATC,"Our stay here was great!  I am with a college basketball team and I recommend all teams stay here. Jennifer, Joanne and the rest staff were extremely helpful from as soon as we checked in, to when we left.  We had multiple requests and they were able to fulfill them immediately and without hesitation.  If you are a group and are looking for a place to stay, call and ask for Jennifer.  She will take GREAT care of you.",October 2022,none,Traveled on business,none,none,none,none,none,none,none,10,154
none,none,5.0 of 5 bubbles,Best experience at the AC Marriott because of staff hospitality,"I had a fabulous experience staying at the AC Marriott thanks to the efforts and assistance of Jocelyn Fullman. She organized my reservation, valet and late check in. I was so well taken care of and blown away by the top quality of the room, amenities and location if this hotel. Would highly recommend!",October 2022,none,none,none,none,none,none,none,none,none,11,154
none,1 contribution,5.0 of 5 bubbles,Excellent Front Desk Service,"I received friendly, helpful service from front desk staff, including Francisco and his female colleague whose name I neglected to note.  They were welcoming and provided assistance when I needed it, helping make my stay more enjoyable.  I will likely be back for future work meetings and look forward to staying at this hotel again.",October 2022,none,none,none,none,none,none,none,none,none,12,154
none,1 contribution,5.0 of 5 bubbles,Marriott Irvine,"My stay at Marriott Irvine was great! I am a men’s basketball player at Arizona State University. Upon arrival we were greeted with very welcoming arms and gift bags, and great food! The rooms were spotless and really nice! Definitely a 10/10 stay in my book!",October 2022,none,none,none,none,none,none,none,none,none,13,154
none,1 contribution,5.0 of 5 bubbles,Great staff!,"Great people and took care of everything that we needed! Will be back again.   Miriam,Jocelyn & Francisco& Anna helped with everything we needed.  Thank you for all the help!! Will be back soon!!!!!!!!!!",October 2022,none,none,none,none,none,none,none,none,none,14,154
none,1 contribution,5.0 of 5 bubbles,Great staff,"Michael is a professional, kind, caring and suggested many options and made my stay very special. The place is cute and small but lovely. The location is amazing and there are many other shops around.",October 2022,none,none,none,none,none,none,none,none,none,15,154
31 helpful votes,126 contributions,1.0 of 5 bubbles,Unfortunate experience with unfortunate customer service,Upon checking in my room had a foul odor. I discovered it was due to a previous guest leaving food in the fridge and behind the chair. When bringing this to the attention of the front desk they let me know that it would take an hour-2 for another room to be ready. Unfortunately I was already cutting it close for time so the front desk agent offered me points instead. I never received these points. I have called 1-2 times a week since my stay and I am typically met with attitude and a promise of points or a call back both of which never happen. Paying $250+ for a room with a foul odor and a room that was not fully cleaned is not right in my opinion. I have called and kindly requested some sort of action or call be taken for WEEKS and nothing. I see that an employee tends to reply,August 2022,none,none,none,none,none,none,none,none,none,16,154
