Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
10 helpful votes,24 contributions,3.0 of 5 bubbles,Very clean and helpful,"I came to visit a sick friend at the Hoag Hospital in Newport Beach and all other hotels were well over 150.00 dollars a night, while the lower priced ones were very sketchy looking by outside appearances. This hotel is perfect for a person who needs a clean comfortable room to get a good nights sleep in. Modern large flat screen TV, microwave, refrigerator and enough room for a comfortable shower. Plus free coffee in the morning. Check in was easy and Nick at the front desk was cordial and helpful for directions and assistance.",November 2015,none,none,"Thank you for giving us the opportunity to recognize our staff for their exemplary work in providing clean and comfortable experience for our valued guests. Our staff is highly trained to give you an exceptional experience, and we are very pleased to learn that we achieved this goal during your recent stay. We only wish to give nothing but the best service to our guests, and to know that we have accomplished such goal gives us great joy. We will share your comments with our staff and we look forward to your next visit.",none,none,none,none,none,none,12,315
1 helpful vote,2 contributions,3.0 of 5 bubbles,Average budget friendly hotel,"Stayed for three nights, two off the nights when we came back from sighting. Our key card had to be re-scanned, it had us locked out. When we were gone sight seeing, we had do not disturb on our door. The maid would come in anyway! Overall the rooms were clean, nice big TV with HBO and had small refrigerator.",July 2015,none,none,Thank you very much for the compliments you give to our hotel! We value our customer's experience  that is why we always make sure that our facilities are in good shape to provide our customers the best we can offer in a reasonable price. We are glad your stay was comfortable and we look forward to your next visit!,none,none,none,none,none,none,13,315
13 helpful votes,37 contributions,3.0 of 5 bubbles,It is a budget type average hotel at best,"The room was smaller than I expected. No free breakfast unless you consider a pastry and coffee breakfast. We had an upstairs room on the second floor. All night long we could hear the street noise. I don't think the walls were well insulated.In our particular room, they had an ironing board but no iron. Oops! Someone forgot. The bed was comfortable and the tv channel selection was better than most. The shower was fine. Could have used more towels in the bathroom area. If you don't expect a lot for the money then this is your type of place. If you are expecting more or want more from a hotel, look elsewhere.",June 2015,none,none,Thank you so much for sharing your review and giving us an honest look at the guest experience in our hotel. We also appreciate your comments regarding the ways that we can improve upon the guest experience in our hotel and we want you to know that the matters you mentioned are being addressed. We are also forever working to improve upon the guest experience and I hope you will remember our attributes and return to see how we have improved to impress you even more.,none,none,none,none,none,none,14,315
53 helpful votes,23 contributions,4.0 of 5 bubbles,Very good stay,"I normally stay at more expensive hotels, but this was going to be a beach stay, so my wife and I chose a less expensive place.  For the price we paid, it was a very good stay.  The motel had a big flat screen tv, had all of the cable channels that we normally watch, had clean rooms, fast internet access, and a comfortable bed.  Front desk guys were very nice as well.  The free breakfast was a little lacking, but it was free so you can't expect too much.    Overall, I would stay here again for all of our beach vacations.  As long as you remember that this is a motel and not a hotel, you will not be disappointed.",April 2015,none,none,"Thank you for taking the time to complete our guest satisfaction survey and for rating our hotel so highly!  We are happy to know that we have exceeded your expectations for just an affordable price. I am so glad that you found our hotel to be clean and comfortable  that you enjoyed the  accommodations and hospitality that we strive to show to each guest, during every stay. We hope to impress you again during your next visit and we thank you for sharing your experience.",none,none,none,none,none,none,15,315
4 helpful votes,28 contributions,5.0 of 5 bubbles,"Great Location, Hidden Gem",I spent one night in a Jacuzzi room. It was amazing from check in to check out. Internet signal/speed was pretty fast also. We didn't stayed for the breakfast as we had other plans for breakfast. I would definitely come back and highly recommend.,March 2015,none,none,"Thank you for taking the time to share this five star experience with our management, staff, and future guests.Our primary aim is to give you a comfortable and accommodating experience, and we are very pleased to hear of our success in this ambition.We are so glad that your stay was enjoyable and we look forward to seeing you again.",none,none,none,none,none,none,16,315
23 helpful votes,16 contributions,5.0 of 5 bubbles,Hidden Gem for the cost!,"I came across this hotel after another I was going to stay at had no vacancies,  turns out the price was lower rooms were remodeled and very clean, and the staff are very friendly, this is my new go to hotel when visiting the area. I have stayed several times and the customer service never changes! ☆☆☆☆☆",November 2014,none,none,"Thank you for taking time out of your busy schedule to review our motel.  We enjoyed having you stay with us and overly joyed you enjoyed your stay.  We pride ourselves are providing the ""best bang for your buck"" in the area.  We believe hospitality is a lost art and pride ourselves on providing the best we can to our guest.  Though we may be a small motel, we take pride in our rooms and providing 4 star amenities at a 2 star price.  Once again thank you for taking the time out of your day to write us a review.  We hope to see you soon again.",none,none,none,none,none,none,17,315
2 helpful votes,5 contributions,4.0 of 5 bubbles,Fantastic location,"It was close to Huntington Beach, close to Java Cafe, and 20 mins from Santa Ana where I needed to work. So I got to go running on the beach; it's simply a matter of driving south on Beach Blvd and turning left on PCH1 (aka: Pacific Coast Highway).   But moreso, Danny heads up the fort and he is a very kind man. He was very nice and patient when I didn't realize checkout time was 11 or 11:30. I had thought it was 12. So I really appreciated him and still do!!! I would stay there again. And I know I wrote another review for this place somewhere else online back when I took this trip.  The condition of the place was fine. It was clean. It is a beach motel and it was great to have that vibe. It was also safe as they had video cameras everywhere. There was a service elevator I was",February 2014,none,none,"Thank you for taking the time to give us a review.  Here at the ABVI we understand sometimes people need some extra time to check out, as long as we can accommodate your request,we have no problem giving you extra time.  We are glad you enjoyed your stay with us.  With our exterior rooms, people can really take in the great southern California beach weather.  Thank you again for reviewing us and we look forward to seeing you again.",none,none,none,none,none,none,18,315
none,1 contribution,5.0 of 5 bubbles,Great Location; Affodable,"A great room; Nicely decorated and clean.  Had everything you would need for a short stay. Microwave, fridge, TV.  Comfortable, quiet and a great value.  Location is close to shopping, restaurants, and any thing else you may need.",April 2014,none,none,"Thank you for taking the time to write a review for us.  We pride ourselves onproviding a quality product at a reasonable price.  We at the ABVI of Westminster/ Huntington Beach believe the guest should experience a relax-full stay when they come back from a busy day seeing the local attractions, shopping or dining.  It is these exact reviews that tell us that we are doing a great job at meeting our guest expectations and desires.    Thank you again for writing us a review.  We look forward to seeing you again.",none,none,none,none,none,none,19,315
42 helpful votes,84 contributions,5.0 of 5 bubbles,Excellent location & rate,Even though this is a small hotel but its excellent service and clean room made our stay wonderful. We spent a night here to attend a wedding and were happy that we chose this hotel. We would stay here again on our next trip to visit the O.C. area. Love the quick breakfast and its coffee to go.,December 2013,none,none,"Thank you for taking the time to post a review of our motel.  We are happy you enjoyed your stay at the America's Best Value Inn of Westminster / Huntington Beach.  We take great pride in providing clean, well maintained rooms at a affordable price to all our guest.  It is reviews like yours that tell us we are doing everything right for our guest.  Thank you again and we welcome you back anything you are in the Orange County area.",none,none,none,none,none,none,20,315
1 helpful vote,1 contribution,5.0 of 5 bubbles,Great choice and price for a few days stay!,"This hotel was a perfect choice, great in every way. The service was really good and the attendants are really nice. The hotel itself is really clean and the  price is good. The room is big and it included everything I needed. I will most definitely stay here any time I visit California.",November 2013,none,none,"Thank you for taking the time out of your day to write us a review.  We love to hear from our guest.  We take pride in providing the best hospitality experience to our guest from the minute they walk into our lobby to the mention they drive away after their stay.  Thank you once again for taking the time to write a review, we hope to see you back soon.",none,none,none,none,none,none,21,315
8 helpful votes,29 contributions,4.0 of 5 bubbles,Nicely decorated rooms,"I called the hotel minutes before arriving.  The gentleman who answered the phone told me he had one room left and took my name and said he would hold it for me for 30 minutes.  when we got to the hotel 20 minutes later the lady at the front desk acted like their were no rooms left, she acted like she didn't want to assist us so I  asked her if I could speak to the gentleman.  He came and assisted us.  The room was remodeled, small but clean. Breakfast was grab and go pastries served in the entrance area which was extremely small also they did not have enough pastries for all of us.  Even though the rooms were nice I would not stay here again due to the lady's attitude towards us and her being reluctant to assist us.  Based on that I would not recommend this hotel to anyone.",July 2013,none,none,"Thank you for reporting this incident you had in the hotel. We are already making reports about this so the management will be informed by this news. We are very sorry about your disappointment but rest assured, your concerns will be highly appreciated to better our services to our dear customers. We hope you can consider us again after the experience you had in us. We promise you a better service and a professional staff.",none,none,none,none,none,none,22,315
none,1 contribution,5.0 of 5 bubbles,"Good prices, great motel!","Clean, good location and excellent service! We stayed for one night during a road trip. If you are travelling by car and don't need to stay downtown this is a perfect choice! The motel looks like it's been renovated recently, the staff was very friendly and service minded. It's close to locations like huntington beach.",July 2013,none,none,"Thank you so much for sharing your review and giving us an honest look at the guest experience in our hotel. I am glad that you enjoyed the value and the convenient location of our hotel! We are delighted by your compliments, rating and review of our high housekeeping and hospitality standards. Your thorough review is greatly appreciated! It is so rewarding to hear that we were able to give you a five star experience and we look forward to your next visit!",none,none,none,none,none,none,23,315
3 helpful votes,2 contributions,4.0 of 5 bubbles,Nice place,"Was driving by, decided to spend the night here since it was here and we were tired.  It was a pleasant surprise.  The rooms were clean, nice big tv and free wifi.  The place is located near the freeway so we were back on the road quick.  The breakfast wasnt all that, but we just wanted a snack, so it was good for that.  I can say honestly, this place surprised me.",September 2012,none,none,"Thank you for the favorable review, Miss Sara N.  We take great pride in keeping a clean and up to date motel.  In fact we have just did an extensive remodeling of the property.  Unfortunately,  the remodeling couldn't address our breakfast area, we just don't have a large enough space to offer more variety for our breakfast.  But our studies have shown a large number of our guest tend to be more ""grab and eat on the go"" people.  Hence, everything we offer is individually packages for on the go eating and our single cup Keuring coffee.  What we lack in one area we made up in other areas.  Hence, the 40"" LCD tvs, granite counter tops and Pillow-top mattresses.  I am extremely glad you enjoyed your stay here.  As a smaller Motel, we take great pride in making our guest happy.",none,none,none,none,none,none,24,315
