Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
48 helpful votes,49 contributions,4.0 of 5 bubbles,Nice hotel with helpful employees.,"We stayed while in town for an event. The employees were very friendly and accommodating. The breakfast in the morning was very good and included a strawberry mixture for the waffles. The hotel itself was in great condition and very inviting. The rooms were pleasant with upgraded bathrooms. Our room did not have a bathtub which was a little disappointing, but the shower had good water pressure. I didn't love the opaque doors as they let light into the room when someone was inside which was disturbing to those sleeping. It was annoying to pay for parking, but at least it was only $5. There was really no need for it. It wasn't gated or at all secure and seemed like a money grab. All in all, we enjoyed our stay and would stay here again if in the area.",February 2023,Ask for softer pillows,none,"We really appreciate it when our satisfied guests take the time to post a informative reviews of their experience, particularly on TripAdvisor. All guest feedback is extremely valuable as it assists us to both recognize outstanding service and to continually improve our hotel operations. If you have a particular room preference, you can always call ahead or chat with us prior to your stay using the Bonvoy app or Marriott.com. We want to make sure you are comfortable as possible. Thank you again. We truly appreciate your time and we hope to see you again",4.0 of 5 bubbles,none,none,none,none,none,1,274
9 helpful votes,18 contributions,5.0 of 5 bubbles,Immaculate and Excellent Staff All-Around!!!,"THIS HOTEL SAVED US from the completely disasterous Embassy Suites in Brea! We were away for 2 separate weeks, split up by the weekend for business. We stayed in 2 different rooms. Both were GREAT.   The hotel is immaculate, inside and out (and I'm pretty picky)! When I looked in to see what housekeeping was up to, they were pulling dressers out from the wall and vacuuming behind furniture, cleaning door boarders, and smiling at customers in-between! While working out, I saw housekeeping came in to check on towels and wipe things down.   The free, hot breakfast was nicely done and well-stocked. It was so pleasant at night that my wife and I brought food in and ate in the lobby several times. There's an outdoor fireplace. We were going back and forth to Brea, but if you want",October 2022,"Nice, quiet location for Brea AND Disneyland - right in the middle! Plenty of food around. Best...",Traveled on business,Thank you so much for taking the time to review your recent experience at our property in well written and very informative review.  Our team strives to provide memorable experiences for all our guests. I am so glad that you could see our high level of associate satisfaction. This is truly the key to maintaining an outstanding Marriott facility.   We hope to see you both soon.   Take care,4.0 of 5 bubbles,none,none,none,none,none,2,274
none,none,3.0 of 5 bubbles,"Tries but falls short, succumbing to Marriott's signature mediocrity.","As a pilot, I'm a little picky because I spend a lot of nights in hotels. This hotel is relatively new, it ticks all the boxes, but misses the mark in characteristic Marriott mediocrity. Springhill Fullerton experience follows a theme, 'We've given you all the things we promised, what more do you want'?   This property is positioned close to Disney and Knotts. It aspires to be upscale, hitting $195 a night off-peak, and they charge $5 a day for unsecured outdoor parking, pushing the bill above $200/night. Sound insulation is quite effective, which you'll appreciate; the hotel seems rather jammed into a tiny parcel bordered by a busy freeway, rail freight line and industrial artery. There is no formal restaurant on the property or within walking distance.    With designer colors",December 2022,"No jacuzzi, outdoor pool only. Other hotels nearby are better values.",Traveled as a couple,"Thank you for your very informative and well written review. As a pilot, we know your time is valuable and we greatly appreciate the feedback. In a industry quite honestly ravaged by the lock down experiences of the past two years, it is important that we recognize changing guest needs and what really strikes travelers with new build properties. Moreover, the hotel can use this information to demonstrate  to the brand the impact to guests form the perspective of contracted supply lines.   We really appreciate this review.   Thank you",3.0 of 5 bubbles,none,none,none,none,none,3,274
318 helpful votes,5555 contributions,5.0 of 5 bubbles,Keep Your Eyes Peeled ...,"My wife & I used web directions to get within the vicinity of SpringHill Suites in Placentia, but actually arriving took keen eyes & a bit of luck.  As you travel - the slower the better - along that odd stretch of Placentia Avenue, you will see the attractive 5-story hotel building on a hill overlooking the street & the adjacent freeway.  Driving either northbound or southbound on Placentia, ignore any suggestion to turn westbound onto Fender Avenue and instead look for the hotel entrance sign low to the ground on the east side of the street.  From that well hidden entrance, you will find your lodging destination.  Once inside, you'll find friendly & helpful staff, clean & modern decor, and amenities that should suit just about any sort of guest (leisure, business,",October 2022,none,Traveled as a couple,Thank you for your very informative review of the property!  We are so glad that you had a positive experience out our new hotel. We hope to see you next time your travels bring you back to the area.,none,none,none,none,none,none,4,274
5 helpful votes,7 contributions,4.0 of 5 bubbles,Central Location,"I will return, as this hotel has a good central location to Anaheim, Fullerton, Placentia, and Brea. Raena made my stay extra special, she was the kindest associate during my week and a half stay. She was more professional and welcoming than any other employee working at the property. Please give her a raise!!   Breakfast was surprisingly decent. There was a nice selection of cereal, milk (no plant based milk), coffee, packaged pastries and muffins, fresh whole fruits, eggs, sausage, microwavable breakfast sandwiches, and yogurts.   My only concern is with the A/C system. The A/C system didn't cool down the room  efficiently. Even after running the system all day the room warmed up immediately after turning it off. I also figured out (on my last night) if you extend  the TV out",August 2022,Ask for a room away from the train.,none,"Hello Rebeca,  Thank you for taking the time to tell us about your recent stay at our hotel.  Providing the highest level of customer service is our top priority and I am very pleased to hear that our team was able to deliver on excellent service.  I have shared your maintenance concerns with our team and be sure that they will all be addressed.  We hope that you choose our hotel for your future stays. Sincerely, Management.",none,none,none,none,none,none,5,274
1 helpful vote,2 contributions,5.0 of 5 bubbles,"Excellent Hotel, ideal for staycation!!",The suite rooms were big & spacious. The hotel staff was very friendly and responsive to the needs. We had a 2 day weekend seminar and the board-room/hall accommodated 50+ ppl comfortably. The breakfast was also healthy and lot of good choices. Highly recommend the place!!,June 2022,"Friendly staff, big board room and spacious rooms.",none,"Hello 955priteshv,  Thank you for taking the time to let us know about your recent stay at the SpringHill Placentia. We are very happy to hear that you enjoy the facility and the amenities.   Your review will help as encouragement to our staff to always deliver the best service possible.  We are glad that you chose our hotel for your stay and we hope to see you soon.  Sincerely, Management",none,none,none,none,none,none,6,274
none,1 contribution,5.0 of 5 bubbles,Great stay and experience!,"This is a  modern new place with awesome and helpful staff. It’s super clean, super courteous, with spacious rooms, a nice lobby, an excellent conference room and equipment. Would definitely recommend this place!",June 2022,none,Traveled with friends,Thank you for taking the time to recommend the Hotel. We appreciate the feedback and we hope to see you again soon.,none,none,none,none,none,none,7,274
none,1 contribution,5.0 of 5 bubbles,Great rooms and great hospitality!,"The rooms are large and new. They were kind enough to help give us another location to shower while our shower had hot water issues. We were there for a retreat and they were really amazing with the staff always asking how they can help and really doing their best to help make our time there great, which is was!",June 2022,none,Traveled on business,"Thank you for your kind review of your experience at our hotel. Our team strives to offer a ,memorable guest experience.  We hope to see you again.",4.0 of 5 bubbles,none,none,none,none,none,8,274
none,3 contributions,5.0 of 5 bubbles,A Perfect place for a family get-together!!!,We recently had a family/friends get-together here and it was just perfect. We were about 30 of us all over from Southern California who spent two nights at this place. The rooms are all suites and seemed newly remodeled. The staff was also just amazing. From setting up the conference room for us to providing us water and coffee...we couldn't have had a better experience. Plus its so close to Disneyland...it was just perfect. Thank you Roberto and team for such hospitality. We will certainly be back again.,June 2022,All rooms are suites....,none,Thank you so much for kind review of your experience. It is always nice to receive positive feedback from the people that matter most. Our team takes pride in the service they offer.   We hope to see you again soon.,none,none,none,none,none,none,9,274
none,2 contributions,5.0 of 5 bubbles,Brand new property with great service,We held a spiritual retreat at Thai hotel with 60 people. The general manager ton guest services desk to kitchen staff was very friendly and cooperative. The meeting room was perfect and equipped with TV and WiFi. The rooms are fully furnished and contemporary with nice beds & workspace. Very hospitable!,June 2022,none,Traveled with family,Thank you so much for this great service mention. We share these reviews with our associate teams as a way of celebrating their efforts in creating a memorable experience.,none,none,none,none,none,none,10,274
